CUI,edit_score,mesh,ont_source,pref_name,term
C0001125,14,"Acidosis, Lactic",ICD10CM,"Acidosis, Lactic",Lactic acidosis
C0001125,15,"Acidosis, Lactic",NCI,"Acidosis, Lactic",Lactic Acidosis
C0001126,0,"Acidosis, Renal Tubular",NCI,Renal Tubular Acidosis,Renal Tubular Acidosis
C0001126,6,"Acidosis, Renal Tubular",ICD10CM,Renal Tubular Acidosis,Renal tubular acidosis NOS
C0001127,19,"Acidosis, Respiratory",ICD10CM,"Acidosis, Respiratory",Respiratory acidosis
C0001127,19,"Acidosis, Respiratory",NCI,"Acidosis, Respiratory",Respiratory Acidosis
C0001127,20,"Acidosis, Respiratory",NCI,"Acidosis, Respiratory",Hypercapnic Acidosis
C0001144,0,Acne Vulgaris,NCI,Acne Vulgaris,Acne Vulgaris
C0001144,1,Acne Vulgaris,ICD10CM,Acne Vulgaris,Acne vulgaris
C0001144,9,Acne Vulgaris,NCI,Acne Vulgaris,Acne
C0001145,0,Acne Keloid,NCI,Acne Keloid,Acne Keloid
C0001145,1,Acne Keloid,ICD10CM,Acne Keloid,Acne keloid
C0001145,18,Acne Keloid,NCI,Acne Keloid,Keloidal Folliculitis
C0001163,4,Vestibulocochlear Nerve Diseases,NCI,Vestibulocochlear Nerve Diseases,Vestibulocochlear Nerve Disorder
C0001163,19,Vestibulocochlear Nerve Diseases,NCI,Vestibulocochlear Nerve Diseases,Acoustic Nerve Disorder
C0001163,26,Vestibulocochlear Nerve Diseases,ICD10CM,Vestibulocochlear Nerve Diseases,Disorders of acoustic nerve
C0001175,0,Acquired Immunodeficiency Syndrome,NCI,Acquired Immunodeficiency Syndrome,Acquired Immunodeficiency Syndrome
C0001175,12,Acquired Immunodeficiency Syndrome,ICD10CM,Acquired Immunodeficiency Syndrome,acquired immune deficiency syndrome [AIDS]
C0001175,12,Acquired Immunodeficiency Syndrome,NCI,Acquired Immunodeficiency Syndrome,Acquired Immune Deficiency
C0001175,31,Acquired Immunodeficiency Syndrome,NCI,Acquired Immunodeficiency Syndrome,AIDS
C0001197,0,Acrodermatitis,NCI,Acrodermatitis,Acrodermatitis
C0001206,0,Acromegaly,NCI,Acromegaly,Acromegaly
C0001231,17,"ACTH Syndrome, Ectopic",NCI,"ACTH Syndrome, Ectopic",Ectopic ACTH Syndrome
C0001231,18,"ACTH Syndrome, Ectopic",ICD10CM,"ACTH Syndrome, Ectopic",Ectopic ACTH syndrome
C0001231,21,"ACTH Syndrome, Ectopic",NCI,"ACTH Syndrome, Ectopic",Ectopic ACTH Secretion
C0001231,24,"ACTH Syndrome, Ectopic",NCI,"ACTH Syndrome, Ectopic",Ectopic ACTH Secretion Syndrome
C0001255,1,Actinomycetales Infections,NCI,Actinomycetales Infections,Actinomycetales Infection
C0001261,0,Actinomycosis,ICD10CM,Actinomycosis,Actinomycosis
C0001261,0,Actinomycosis,NCI,Actinomycosis,Actinomycosis
C0001261,13,Actinomycosis,ICD10CM,Actinomycosis,"Actinomycosis, unspecified"
C0001264,0,"Actinomycosis, Cervicofacial",ICD10CM,Cervicofacial actinomycosis,Cervicofacial actinomycosis
C0001264,13,"Actinomycosis, Cervicofacial",NCI,Cervicofacial actinomycosis,Cervicofacial Actinomycotic Infection
C0001396,10,Adams-Stokes Syndrome,NCI,Adams-Stokes Syndrome,Stokes-Adams Syndrome
C0001396,11,Adams-Stokes Syndrome,ICD10CM,Adams-Stokes Syndrome,Stokes-Adams syndrome
C0001403,0,Addison Disease,NCI,Addison Disease,Addison Disease
C0001403,2,Addison Disease,NCI,Addison Disease,Addison's Disease
C0001403,3,Addison Disease,ICD10CM,Addison Disease,Addison's disease
C0001403,31,Addison Disease,ICD10CM,Addison Disease,Primary adrenocortical insufficiency
C0001403,31,Addison Disease,NCI,Addison Disease,Chronic Primary Adrenal Insufficiency
C0001418,0,Adenocarcinoma,NCI,Adenocarcinoma,Adenocarcinoma
C0001420,0,"Adenocarcinoma, Papillary",NCI,Papillary Adenocarcinoma,Papillary Adenocarcinoma
C0001429,0,Adenolymphoma,NCI,Adenolymphoma,Adenolymphoma
C0001429,13,Adenolymphoma,NCI,Adenolymphoma,Warthin Tumor
C0001429,14,Adenolymphoma,NCI,Adenolymphoma,Warthin's Tumor
C0001429,24,Adenolymphoma,NCI,Adenolymphoma,Papillary Cystadenoma Lymphomatosum
C0001430,0,Adenoma,NCI,Adenoma,Adenoma
C0001431,18,"Adenoma, Basophil",NCI,"Adenoma, Basophil",Basophilic Adenoma
C0001431,18,"Adenoma, Basophil",NCI,"Adenoma, Basophil",Pituitary Basophilic Adenoma
C0001431,19,"Adenoma, Basophil",NCI,"Adenoma, Basophil",Mucoid Cell Adenoma
C0001431,22,"Adenoma, Basophil",NCI,"Adenoma, Basophil",Pituitary Gland Basophil Adenoma
C0001431,31,"Adenoma, Basophil",NCI,"Adenoma, Basophil",Basophilic Pituitary Gland Adenoma
C0001432,16,"Adenoma, Chromophobe",NCI,"Adenoma, Chromophobe",Pituitary Chromophobe Adenoma
C0001432,17,"Adenoma, Chromophobe",NCI,"Adenoma, Chromophobe",Chromophobe Adenoma
C0001432,22,"Adenoma, Chromophobe",NCI,"Adenoma, Chromophobe",Pituitary Gland Chromophobe Adenoma
C0001432,30,"Adenoma, Chromophobe",NCI,"Adenoma, Chromophobe",Chromophobe Adenoma of Pituitary Gland
C0001432,33,"Adenoma, Chromophobe",NCI,"Adenoma, Chromophobe",Chromophobe Adenoma of the Pituitary Gland
C0001433,14,"Adenoma, Acidophil",NCI,"Adenoma, Acidophil",Acidophil Adenoma
C0001433,15,"Adenoma, Acidophil",NCI,"Adenoma, Acidophil",Eosinophil Adenoma
C0001433,22,"Adenoma, Acidophil",NCI,"Adenoma, Acidophil",Pituitary Gland Acidophil Adenoma
C0001442,0,Adenosarcoma,NCI,Adenosarcoma,Adenosarcoma
C0001442,10,Adenosarcoma,NCI,Adenosarcoma,Mullerian Adenosarcoma
C0001442,10,Adenosarcoma,NCI,Adenosarcoma,Müllerian Adenosarcoma
C0001486,1,Adenoviridae Infections,NCI,Adenovirus Infections,Adenovirus Infection
C0001486,13,Adenoviridae Infections,ICD10CM,Adenovirus Infections,"Adenovirus infection, unspecified"
C0001511,1,Tissue Adhesions,NCI,Tissue Adhesions,Tissue Adhesion
C0001511,8,Tissue Adhesions,NCI,Tissue Adhesions,Adhesion
C0001519,0,Adie Syndrome,NCI,Adie Syndrome,Adie Syndrome
C0001519,7,Adie Syndrome,NCI,Adie Syndrome,Holmes-Adie Syndrome
C0001519,8,Adie Syndrome,NCI,Adie Syndrome,Adie Pupil
C0001519,12,Adie Syndrome,NCI,Adie Syndrome,Tonic Pupil
C0001529,0,Adiposis Dolorosa,NCI,Adiposis Dolorosa,Adiposis Dolorosa
C0001529,13,Adiposis Dolorosa,NCI,Adiposis Dolorosa,Dercum's Disease
C0001529,14,Adiposis Dolorosa,NCI,Adiposis Dolorosa,Dercum Disease
C0001529,24,Adiposis Dolorosa,ICD10CM,Adiposis Dolorosa,Lipomatosis (Check) dolorosa [Dercum]
C0001618,0,Adrenal Cortex Neoplasms,NCI,Adrenal Cortex Tumor,Adrenal Cortex Tumor
C0001618,8,Adrenal Cortex Neoplasms,NCI,Adrenal Cortex Tumor,Adrenal Cortex Neoplasm
C0001618,8,Adrenal Cortex Neoplasms,NCI,Adrenal Cortex Tumor,Adrenocortical Tumor
C0001618,16,Adrenal Cortex Neoplasms,NCI,Adrenal Cortex Tumor,Adrenocortical Neoplasm
C0001621,0,Adrenal Gland Diseases,NCI,Adrenal Gland Diseases,Adrenal Gland Diseases
C0001621,1,Adrenal Gland Diseases,NCI,Adrenal Gland Diseases,Adrenal Gland Disease
C0001621,4,Adrenal Gland Diseases,NCI,Adrenal Gland Diseases,Adrenal Gland Disorders
C0001621,4,Adrenal Gland Diseases,NCI,Adrenal Gland Diseases,Adrenal Gland Disorder
C0001621,23,Adrenal Gland Diseases,ICD10CM,Adrenal Gland Diseases,"Disorder of adrenal gland, unspecified"
C0001622,24,Adrenocortical Hyperfunction,NCI,Adrenal Gland Hyperfunction,Hypercortisolemia
C0001623,10,Adrenal Insufficiency,NCI,Adrenal Gland Hypofunction,Adrenal Gland Insufficiency
C0001623,15,Adrenal Insufficiency,NCI,Adrenal Gland Hypofunction,Adrenal Insufficiency
C0001624,1,Adrenal Gland Neoplasms,NCI,Adrenal Gland Neoplasms,Adrenal Gland Neoplasm
C0001624,6,Adrenal Gland Neoplasms,NCI,Adrenal Gland Neoplasms,Adrenal Neoplasms
C0001624,7,Adrenal Gland Neoplasms,NCI,Adrenal Gland Neoplasms,Adrenal Neoplasm
C0001624,9,Adrenal Gland Neoplasms,NCI,Adrenal Gland Neoplasms,Adrenal Gland Tumor
C0001624,14,Adrenal Gland Neoplasms,NCI,Adrenal Gland Neoplasms,Adrenal Tumor
C0001624,19,Adrenal Gland Neoplasms,NCI,Adrenal Gland Neoplasms,Tumor of Adrenal Gland
C0001624,21,Adrenal Gland Neoplasms,NCI,Adrenal Gland Neoplasms,Neoplasm of Adrenal Gland
C0001624,23,Adrenal Gland Neoplasms,NCI,Adrenal Gland Neoplasms,Tumor of the Adrenal Gland
C0001624,24,Adrenal Gland Neoplasms,NCI,Adrenal Gland Neoplasms,Neoplasm of the Adrenal Gland
C0001627,0,"Adrenal Hyperplasia, Congenital",ICD10CM,Congenital adrenal hyperplasia,Congenital adrenal hyperplasia
C0001627,2,"Adrenal Hyperplasia, Congenital",NCI,Congenital adrenal hyperplasia,Congenital Adrenal Hyperplasia
C0001627,8,"Adrenal Hyperplasia, Congenital",NCI,Congenital adrenal hyperplasia,Congenital Adrenal Gland Hyperplasia
C0001627,13,"Adrenal Hyperplasia, Congenital",NCI,Congenital adrenal hyperplasia,Adrenal Hyperplasia
C0001627,22,"Adrenal Hyperplasia, Congenital",NCI,Congenital adrenal hyperplasia,Adrenogenital Syndrome
C0001627,25,"Adrenal Hyperplasia, Congenital",NCI,Congenital adrenal hyperplasia,"Adrenal Hyperplasia, Congenital"
C0001630,0,Adrenal Rest Tumor,NCI,Adrenal Rest Tumor,Adrenal Rest Tumor
C0001630,8,Adrenal Rest Tumor,NCI,Adrenal Rest Tumor,Adrenal Rest Neoplasm
C0001733,0,Afibrinogenemia,NCI,Afibrinogenemia,Afibrinogenemia
C0001815,0,Primary Myelofibrosis,NCI,Primary Myelofibrosis,Primary Myelofibrosis
C0001815,8,Primary Myelofibrosis,NCI,Primary Myelofibrosis,Idiopathic Myelofibrosis
C0001815,15,Primary Myelofibrosis,NCI,Primary Myelofibrosis,Chronic Idiopathic Myelofibrosis
C0001815,16,Primary Myelofibrosis,ICD10CM,Primary Myelofibrosis,Chronic idiopathic myelofibrosis
C0001815,19,Primary Myelofibrosis,NCI,Primary Myelofibrosis,Idiopathic Bone Marrow Fibrosis
C0001815,20,Primary Myelofibrosis,NCI,Primary Myelofibrosis,Agnogenic Myeloid Metaplasia
C0001815,20,Primary Myelofibrosis,NCI,Primary Myelofibrosis,AMM
C0001815,20,Primary Myelofibrosis,NCI,Primary Myelofibrosis,CIMF
C0001815,28,Primary Myelofibrosis,NCI,Primary Myelofibrosis,Myelosclerosis with Myeloid Metaplasia
C0001816,0,Agnosia,ICD10CM,Agnosia,Agnosia
C0001816,0,Agnosia,NCI,Agnosia,Agnosia
C0001824,1,Agranulocytosis,ICD10CM,Agranulocytosis,agranulocytosis
C0001825,0,Agraphia,ICD10CM,Agraphia,Agraphia
C0001849,8,AIDS Dementia Complex,NCI,AIDS Dementia Complex,AIDS Dementia
C0001857,9,AIDS-Related Complex,ICD10CM,AIDS Related Complex,AIDS-related complex [ARC]
C0001860,0,Ainhum,ICD10CM,Ainhum,Ainhum
C0001860,0,Ainhum,NCI,Ainhum,Ainhum
C0001860,12,Ainhum,NCI,Ainhum,Dactylolysis
C0001883,0,Airway Obstruction,NCI,Airway Obstruction,Airway Obstruction
C0001916,0,Albinism,ICD10CM,Albinism,Albinism
C0001916,0,Albinism,NCI,Albinism,Albinism
C0001916,13,Albinism,ICD10CM,Albinism,"Albinism, unspecified"
C0001925,4,Albuminuria,ICD10CM,Albuminuria,Albuminuria NOS
C0001940,15,Alcohol Amnestic Disorder,NCI,Alcohol Amnestic Disorder,Alcohol-Induced Amnestic Syndrome
C0001940,22,Alcohol Amnestic Disorder,NCI,Alcohol Amnestic Disorder,Alcoholic Korsakoff's Psychosis
C0001969,2,Alcoholic Intoxication,NCI,Alcoholic Intoxication,Alcohol Intoxication
C0001973,21,Alcoholism,ICD10CM,"Alcoholic Intoxication, Chronic",Alcohol dependence
C0001973,21,Alcoholism,NCI,"Alcoholic Intoxication, Chronic",Alcohol Dependence
C0002063,0,Alkalosis,ICD10CM,Alkalosis,Alkalosis
C0002063,0,Alkalosis,NCI,Alkalosis,Alkalosis
C0002063,4,Alkalosis,ICD10CM,Alkalosis,Alkalosis NOS
C0002064,21,"Alkalosis, Respiratory",ICD10CM,"Alkalosis, Respiratory",Respiratory alkalosis
C0002064,21,"Alkalosis, Respiratory",NCI,"Alkalosis, Respiratory",Respiratory Alkalosis
C0002066,0,Alkaptonuria,ICD10CM,Alkaptonuria,Alkaptonuria
C0002066,0,Alkaptonuria,NCI,Alkaptonuria,Alkaptonuria
C0002170,0,Alopecia,NCI,Alopecia,Alopecia
C0002170,4,Alopecia,ICD10CM,Alopecia,Alopecia NOS
C0002170,7,Alopecia,NCI,Alopecia,Alopecia Areata
C0002170,9,Alopecia,NCI,Alopecia,Hair Loss
C0002171,1,Alopecia Areata,ICD10CM,Alopecia Areata,Alopecia areata
C0002171,14,Alopecia Areata,ICD10CM,Alopecia Areata,"Alopecia areata, unspecified"
C0002173,17,"Mucinosis, Follicular",ICD10CM,"Mucinosis, Follicular",Alopecia mucinosa
C0002173,17,"Mucinosis, Follicular",NCI,"Mucinosis, Follicular",Alopecia Mucinosa
C0002173,18,"Mucinosis, Follicular",NCI,"Mucinosis, Follicular",Alopecia Mucinosis
C0002312,2,alpha-Thalassemia,NCI,alpha-Thalassemia,Alpha Thalassemia
C0002312,3,alpha-Thalassemia,ICD10CM,alpha-Thalassemia,Alpha thalassemia
C0002312,18,alpha-Thalassemia,ICD10CM,alpha-Thalassemia,Hemoglobin H disease
C0002351,5,Altitude Sickness,ICD10CM,Altitude Sickness,Alpine sickness
C0002351,8,Altitude Sickness,ICD10CM,Altitude Sickness,Mountain sickness
C0002351,17,Altitude Sickness,ICD10CM,Altitude Sickness,Hypobaropathy
C0002351,21,Altitude Sickness,ICD10CM,Altitude Sickness,Anoxia due to high altitude
C0002390,0,"Alveolitis, Extrinsic Allergic",NCI,Extrinsic Allergic Alveolitis,Extrinsic Allergic Alveolitis
C0002390,16,"Alveolitis, Extrinsic Allergic",NCI,Extrinsic Allergic Alveolitis,Allergic Pneumonitis
C0002390,22,"Alveolitis, Extrinsic Allergic",NCI,Extrinsic Allergic Alveolitis,Hypersensitivity Pneumonitis
C0002390,26,"Alveolitis, Extrinsic Allergic",ICD10CM,Extrinsic Allergic Alveolitis,Hypersensitivity pneumonitis NOS
C0002390,27,"Alveolitis, Extrinsic Allergic",ICD10CM,Extrinsic Allergic Alveolitis,Allergic alveolitis (extrinsic) NOS
C0002395,0,Alzheimer Disease,NCI,Alzheimer's Disease,Alzheimer's Disease
C0002395,1,Alzheimer Disease,ICD10CM,Alzheimer's Disease,Alzheimer's disease
C0002395,2,Alzheimer Disease,NCI,Alzheimer's Disease,Alzheimer Disease
C0002395,6,Alzheimer Disease,NCI,Alzheimer's Disease,Alzheimer's Dementia
C0002395,14,Alzheimer Disease,ICD10CM,Alzheimer's Disease,"Alzheimer's disease, unspecified"
C0002418,0,Amblyopia,NCI,Amblyopia,Amblyopia
C0002418,8,Amblyopia,NCI,Amblyopia,Lazy Eye
C0002418,13,Amblyopia,ICD10CM,Amblyopia,Unspecified amblyopia
C0002438,0,Amebiasis,ICD10CM,Amebiasis,Amebiasis
C0002438,0,Amebiasis,NCI,Amebiasis,Amebiasis
C0002438,13,Amebiasis,ICD10CM,Amebiasis,"Amebiasis, unspecified"
C0002448,0,Ameloblastoma,NCI,Ameloblastoma,Ameloblastoma
C0002452,1,Amelogenesis Imperfecta,ICD10CM,Amelogenesis Imperfecta,Amelogenesis imperfecta
C0002453,0,Amenorrhea,NCI,Amenorrhea,Amenorrhea
C0002453,13,Amenorrhea,ICD10CM,Amenorrhea,"Amenorrhea, unspecified"
C0002514,11,"Amino Acid Metabolism, Inborn Errors",NCI,"Amino Acid Metabolism, Inborn Errors",Amino Acid Metabolism Disorder
C0002514,28,"Amino Acid Metabolism, Inborn Errors",ICD10CM,"Amino Acid Metabolism, Inborn Errors","Disorder of amino-acid metabolism, unspecified"
C0002622,0,Amnesia,NCI,Amnesia,Amnesia
C0002622,4,Amnesia,ICD10CM,Amnesia,Amnesia NOS
C0002622,13,Amnesia,ICD10CM,Amnesia,Memory loss NOS
C0002624,0,"Amnesia, Retrograde",ICD10CM,Retrograde amnesia,Retrograde amnesia
C0002624,1,"Amnesia, Retrograde",NCI,Retrograde amnesia,Retrograde Amnesia
C0002636,0,Amniotic Band Syndrome,NCI,Amniotic Band Syndrome,Amniotic Band Syndrome
C0002636,10,Amniotic Band Syndrome,NCI,Amniotic Band Syndrome,Amniotic Band Constriction
C0002726,0,Amyloidosis,ICD10CM,Amyloidosis,Amyloidosis
C0002726,0,Amyloidosis,NCI,Amyloidosis,Amyloidosis
C0002726,13,Amyloidosis,ICD10CM,Amyloidosis,"Amyloidosis, unspecified"
C0002736,0,Amyotrophic Lateral Sclerosis,NCI,Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis
C0002736,2,Amyotrophic Lateral Sclerosis,ICD10CM,Amyotrophic Lateral Sclerosis,Amyotrophic lateral sclerosis
C0002736,23,Amyotrophic Lateral Sclerosis,NCI,Amyotrophic Lateral Sclerosis,Lou Gehrig Disease
C0002736,26,Amyotrophic Lateral Sclerosis,NCI,Amyotrophic Lateral Sclerosis,ALS
C0002792,0,Anaphylaxis,NCI,Anaphylaxis,Anaphylaxis
C0002793,0,Anaplasia,NCI,Anaplasia,Anaplasia
C0002793,8,Anaplasia,NCI,Anaplasia,Anaplastic Change
C0002793,9,Anaplasia,NCI,Anaplasia,Anaplastic Lesion
C0002797,0,Anaplasmosis,NCI,Anaplasmosis,Anaplasmosis
C0002831,0,Ancylostomiasis,ICD10CM,Ancylostomiasis,Ancylostomiasis
C0002831,0,Ancylostomiasis,NCI,Ancylostomiasis,Ancylostomiasis
C0002871,0,Anemia,NCI,Anemia,Anemia
C0002871,13,Anemia,ICD10CM,Anemia,"Anemia, unspecified"
C0002874,0,"Anemia, Aplastic",NCI,Aplastic Anemia,Aplastic Anemia
C0002874,14,"Anemia, Aplastic",ICD10CM,Aplastic Anemia,"Aplastic anemia, unspecified"
C0002876,0,"Anemia, Dyserythropoietic, Congenital",ICD10CM,Congenital dyserythropoietic anemia,Congenital dyserythropoietic anemia
C0002876,2,"Anemia, Dyserythropoietic, Congenital",NCI,Congenital dyserythropoietic anemia,Congenital Dyserythropoietic Anemia
C0002876,30,"Anemia, Dyserythropoietic, Congenital",ICD10CM,Congenital dyserythropoietic anemia,Dyshematopoietic anemia (congenital)
C0002878,14,"Anemia, Hemolytic",NCI,"Anemia, Hemolytic",Hemolytic Anemia
C0002878,21,"Anemia, Hemolytic",ICD10CM,"Anemia, Hemolytic",Hemolytic anemias (D55-D59)
C0002880,0,"Anemia, Hemolytic, Autoimmune",NCI,Autoimmune Hemolytic Anemia,Autoimmune Hemolytic Anemia
C0002881,13,"Anemia, Hemolytic, Congenital",NCI,"Anemia, Hemolytic, Congenital",Congenital Hemolytic Anemia
C0002881,14,"Anemia, Hemolytic, Congenital",NCI,"Anemia, Hemolytic, Congenital",Hereditary Hemolytic Anemia
C0002881,24,"Anemia, Hemolytic, Congenital",ICD10CM,"Anemia, Hemolytic, Congenital","Hereditary hemolytic anemia, unspecified"
C0002884,0,"Anemia, Hypochromic",NCI,Hypochromic Anemia,Hypochromic Anemia
C0002884,2,"Anemia, Hypochromic",ICD10CM,Hypochromic Anemia,hypochromic anemia
C0002886,15,"Anemia, Macrocytic",NCI,"Anemia, Macrocytic",Macrocytic Anemia
C0002888,15,"Anemia, Megaloblastic",NCI,"Anemia, Megaloblastic",Megaloblastic Anemia
C0002888,19,"Anemia, Megaloblastic",ICD10CM,"Anemia, Megaloblastic",Megaloblastic anemia NOS
C0002890,1,"Anemia, Myelophthisic",ICD10CM,Leukoerythroblastic Anemia,Leukoerythroblastic anemia
C0002890,8,"Anemia, Myelophthisic",NCI,Leukoerythroblastic Anemia,Leukoerythroblastosis
C0002890,14,"Anemia, Myelophthisic",ICD10CM,Leukoerythroblastic Anemia,Myelophthisic anemia
C0002892,14,"Anemia, Pernicious",ICD10CM,"Anemia, Pernicious",Addison anemia
C0002892,14,"Anemia, Pernicious",ICD10CM,"Anemia, Pernicious",Biermer anemia
C0002892,15,"Anemia, Pernicious",NCI,"Anemia, Pernicious",Pernicious Anemia
C0002893,1,"Anemia, Refractory",NCI,Refractory Anemias,Refractory Anemia
C0002893,11,"Anemia, Refractory",NCI,Refractory Anemias,Aregenerative Anemia
C0002893,16,"Anemia, Refractory",NCI,Refractory Anemias,RA
C0002894,18,"Anemia, Refractory, with Excess of Blasts",NCI,"Anemia, Refractory, with Excess of Blasts",Refractory Anemia with Excess Blasts
C0002894,18,"Anemia, Refractory, with Excess of Blasts",NCI,"Anemia, Refractory, with Excess of Blasts",Refractory Anemia with an Excess of Blasts
C0002894,24,"Anemia, Refractory, with Excess of Blasts",ICD10CM,"Anemia, Refractory, with Excess of Blasts",Refractory anemia with excess of blasts [RAEB]
C0002894,24,"Anemia, Refractory, with Excess of Blasts",NCI,"Anemia, Refractory, with Excess of Blasts",Myelodysplastic Syndrome with Excess Blasts
C0002894,30,"Anemia, Refractory, with Excess of Blasts",ICD10CM,"Anemia, Refractory, with Excess of Blasts","Refractory anemia with excess of blasts, unspecified"
C0002894,38,"Anemia, Refractory, with Excess of Blasts",ICD10CM,"Anemia, Refractory, with Excess of Blasts",RAEB NOS
C0002894,38,"Anemia, Refractory, with Excess of Blasts",NCI,"Anemia, Refractory, with Excess of Blasts",RAEB
C0002894,39,"Anemia, Refractory, with Excess of Blasts",NCI,"Anemia, Refractory, with Excess of Blasts",MDS-EB
C0002895,15,"Anemia, Sickle Cell",NCI,"Anemia, Sickle Cell",Sickle Cell Anemia
C0002895,16,"Anemia, Sickle Cell",NCI,"Anemia, Sickle Cell",Sickle Cell Disease
C0002895,19,"Anemia, Sickle Cell",ICD10CM,"Anemia, Sickle Cell",Sickle-cell disease NOS
C0002895,19,"Anemia, Sickle Cell",ICD10CM,"Anemia, Sickle Cell",Sickle-cell disorders
C0002895,20,"Anemia, Sickle Cell",ICD10CM,"Anemia, Sickle Cell",Sickle-cell anemia NOS
C0002895,20,"Anemia, Sickle Cell",ICD10CM,"Anemia, Sickle Cell",Sickle-cell disorder NOS
C0002896,0,"Anemia, Sideroblastic",NCI,Sideroblastic Anemia,Sideroblastic Anemia
C0002896,5,"Anemia, Sideroblastic",ICD10CM,Sideroblastic Anemia,Sideroblastic anemia NOS
C0002902,0,Anencephaly,ICD10CM,Anencephaly,Anencephaly
