ROW_ID,ROW_VERSION,CSBC PSON Center,Consortium,PubMed,Journal,Publication Year,Title,Authors,Grant,Tool link,Other Data Location,SRA URLs,dbGaP URLs,GEO URLs,Synapse Location,Keywords,Abstract,grantType,datasets,studies,tissue_or_organ,diseaseType,experimentalStrategy,featured,dataset name,study name,doi,site,institution,Theme,modifiedOn,tissue_or_organ.sv,diseaseType.sv,experimentalStrategy.sv,Theme.sv,annotated.by,study.number,grantNumber,centerName
4637,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=27932399,Cancer Res,2017,Novel Hybrid Phenotype Revealed in Small Cell Lung Cancer by a Transcription Factor Network Model That Can Explain Tumor Heterogeneity,"Udyavar AR, Wooten DJ, Hoeksema M, Bansal M, Califano A, Estrada L, Schnell S, Irish JM, Massion PP, Quaranta V",U54 CA209997,,,,,,,"lung cancer, flow cytometry, computational models, networks,",,U54,,,"Lung, NOS",Carcinoma in situ of Bronchus and Lung,Mathematical Modeling,,,,,,,,,"Lung, NOS",,,"lung cancer, flow cytometry, computational models, networks,",Center,,CA209997,Center for Cancer Systems Therapeutics (CaST)
4629,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28411207,Cancer Discov,2018,Transdifferentiation as a Mechanism of Treatment Resistance in a Mouse Model of Castration-Resistant Prostate Cancer,"Zou M, Toivanen R, Mitrofanova A, Floch N, Hayati S, Sun Y, Le Magnen C, Chester D, Mostaghel EA, Califano A, Rubin MA, Shen MM, Abate-Shen C",U54 CA209997,,,,,,,"mouse model, prostate cancer",,U54,,,Prostate Gland,Carcinoma in situ of Prostate,Not Applicable,,,,,,,,,Prostate Gland,,,"mouse model, prostate cancer",Center,3,CA209997,Center for Cancer Systems Therapeutics (CaST)
4635,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28429718,Nat Commun,2018,A computational systems approach identifies synergistic specification genes that facilitate lineage conversion to prostate tissue,"Talos F, Mitrofanova A, Bergren SK, Califano A, Shen MM",U54 CA209997,,,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83298,syn11712131,"prostate cancer, computational modeling",,U54,,,Prostate Gland,Carcinoma in situ of Prostate,,,,,,,,,,Prostate Gland,,,"prostate cancer, computational modeling",Center,,CA209997,Center for Cancer Systems Therapeutics (CaST)
5001,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29662057,Nat Commun,2018,Quantitative assessment of protein activity in orphan tissues and single cells using the metaVIPER algorithm,"Ding H, Douglass EF Jr, Sonabend AM, Mela A, Bose S, Gonzalez C, Canoll PD, Sims PA, Alvarez MJ, Califano A",U54 CA209997,,,,,,,,,U54,"syn11958459,syn11678365",syn11678364,,Glioblastoma,Mathematical Modeling,,"GSE95157,Glioblastoma Data",scRNA-seq,,,,heterogeneity/evolution,,,,,,Center,2,CA209997,Center for Cancer Systems Therapeutics (CaST)
5023,196,syn7315802,"PS-ON, CSBC",https://www.ncbi.nlm.nih.gov/pubmed/?term=30041684,Genome Med,2018,Single-cell transcriptome analysis of lineage diversity in high-grade glioma,"Yuan J, Levitin HM, Frattini V, Bush EC, Boyett DM, Samanamud J, Ceccarelli M, Dovas A, Zanazzi G, Canoll P, Bruce JN, Lasorella A, Iavarone A, Sims PA","U54 CA209997, U54 CA193313",,,,,,,,,U54,,,Brain,Glioma,Single Cell Sequencing,,,,,,,heterogeneity/evolution,,Brain,,,,Sage,2,"CA209997, CA193313",Center for Cancer Systems Therapeutics (CaST)
4633,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28174276,Proc Natl Acad Sci U S A,2018,Synergistic antileukemic therapies in NOTCH1-induced T-ALL,"Sanchez-Martin M, Ambesi-Impiombato A, Qin Y, Herranz D, Bansal M, Girardi T, Paietta E, Tallman MS, Rowe JM, De Keersmaecker K, Califano A, Ferrando AA",U54 CA209997,,,,,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78189 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78188 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78187 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71089 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71087 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE5827",syn11958286,"ALL, networks, drug sensitivity",,U54,,,Blood,"Leukemia, Unspecified",Mathematical Modeling,,,,,,,,,Blood,,,"ALL, networks, drug sensitivity",Center,,CA209997,Center for Cancer Systems Therapeutics (CaST)
4914,196,syn7315802,"PS-ON, CSBC",https://www.ncbi.nlm.nih.gov/pubmed/?term=29342136,Nature,2018,Clonal evolution mechanisms in NT5C2 mutant-relapsed acute lymphoblastic leukaemia,"Tzoneva G, Dieck CL, Oshima K, Ambesi-Impiombato A, Snchez-Martn M, Madubata CJ, Khiabanian H, Yu J, Waanders E, Iacobucci I, Sulis ML, Kato M, Koh K, Paganin M, Basso G, Gastier-Foster JM, Loh ML, Kirschner-Schwabe R, Mullighan CG, Rabadan R, Ferrando AA","U54 CA209997, U54 CA193313",,,,,,,,,U54,,,Blood,"Leukemia, Unspecified",Not Applicable,,,,,,,,,Blood,,,,Center,2,"CA209997, CA193313",Center for Cancer Systems Therapeutics (CaST)
4922,196,syn7315802,"PS-ON, CSBC",https://www.ncbi.nlm.nih.gov/pubmed/?term=28924243,Leukemia,2019,Refined karyotype-based prognostic stratification of chronic lymphocytic leukemia with a low- and very-low-risk genetic profile,"Giudice ID, Rigolin GM, Raponi S, Cafforio L, Ilari C, Wang J, Bordyuh M, Piciocchi A, Marinelli M, Nanni M, Tavolaro S, Filetti M, Bardi A, Tammiso E, Volta E, Negrini M, Saccenti E, Mauro FR, Rossi D, Gaidano G, Guarini A, Rabadan R, Cuneo A, Fo R","U54 CA209997, U54 CA193313",,,,,,,,,U54,,,Blood,"Leukemia, Unspecified",Not Applicable,,,,,,,,,Blood,,,,Center,2,"CA209997, CA193313",Center for Cancer Systems Therapeutics (CaST)
4977,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29684207,Nucleic Acids Res,2019,The number of titrated microRNA species dictates ceRNA regulation,"Chiu HS, Martnez MR, Komissarova EV, Llobet-Navas D, Bansal M, Paull EO, Silva J, Yang X, Sumazin P, Califano A",U54 CA209997,,,,,,,,,U54,,,Pancreas,Malignant Neoplasm of Pancreas,Mathematical Modeling,,,,,,,,,Pancreas,,,,Center,,CA209997,Center for Cancer Systems Therapeutics (CaST)
4630,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28282273,J Oncol Pract,2018,Fanning the Flames of Cancer Chemoresistance: Inflammation and Anticancer Therapy,Olive KP,U54 CA209997,,,,,,,inflammation,,U54,,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,Not Applicable,,,inflammation,Center,1,CA209997,Center for Cancer Systems Therapeutics (CaST)
4632,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28740083,Nat Commun,2017,PLATE-Seq for genome-wide regulatory network analysis of high-throughput screens,"Bush EC, Ray F, Alvarez MJ, Realubit R, Li H, Karan C, Califano A, Sims PA",U54 CA209997,,,,,,,"RNA-Seq, technology development",,U54,,,Not Applicable,Not Applicable,PlateSeq,,,,,,,,,Not Applicable,,,,Center,2,CA209997,Center for Cancer Systems Therapeutics (CaST)
4636,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=27977008,Nat Rev Cancer,2017,"The recurrent architecture of tumour initiation, progression and drug sensitivity","Califano A, Alvarez MJ",U54 CA209997,,,,,,,regulatory network,,U54,,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,Not Applicable,,,regulatory network,Center,,CA209997,Center for Cancer Systems Therapeutics (CaST)
4964,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29579153,Bioinformatics,2018,iterClust: a statistical framework for iterative clustering analysis,"Ding H, Wang W, Califano A",U54 CA209997,,,,,,,,,U54,,,Not Applicable,Not Applicable,,,,,,,,,,Not Applicable,,,,Center,,CA209997,Center for Cancer Systems Therapeutics (CaST)
4972,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29510988,Cancer Discov,2018,Cross-Cohort Analysis Identifies a TEAD4-MYCN Positive Feedback Loop as the Core Regulatory Element of High-Risk Neuroblastoma,"Rajbhandari P, Lopez G, Capdevila C, Salvatori B, Yu J, Rodriguez-Barrueco R, Martinez D, Yarmarkovich M, Weichert-Leahey N, Abraham BJ, Alvarez MJ, Iyer A, Harenza JL, Oldridge D, De Preter K, Koster J, Asgharzadeh S, Seeger RC, Wei JS, Khan J, Vandesompele J, Mestdagh P, Versteeg R, Look AT, Young RA, Iavarone A, Lasorella A, Silva JM, Maris JM, Califano A",U54 CA209997,,,,,,,,,U54,,,Nervous system,Not Applicable,Mathematical Modeling; Unspecified,,,,,,,,,Nervous system,,,,Center,,CA209997,Center for Cancer Systems Therapeutics (CaST)
4987,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28950860,BMC Syst Biol,2018,Accelerated parallel algorithm for gene network reverse engineering,"He J, Zhou Z, Reed M, Califano A",U54 CA209997,,,,,,,,,U54,,,Not Applicable,Not Applicable,Mathematical Modeling,,,,,,,heterogeneity/evolution,,Not Applicable,,,,Center,,CA209997,Center for Cancer Systems Therapeutics (CaST)
4634,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=27999735,Oncoimmunology,2018,Identification of immunotherapeutic targets by genomic profiling of rectal NET metastases,"Koalolu Z, Zrnig I, Halama N, Kaiser I, Buchhalter I, Grabe N, Eils R, Schlesner M, Califano A, Jger D",U54 CA209997,,,,,,,"immunology, neuroendocrine tumors, microenvironment, neo-epitopes, neoantigens",,U54,,,Colon,Rectal Adenocarcinoma,,,,,,,,microenvironment,,Colon,,,,Center,,CA209997,Center for Cancer Systems Therapeutics (CaST)
4626,196,syn7315802,"PS-ON, CSBC",https://www.ncbi.nlm.nih.gov/pubmed/?term=27670648,Sci Rep,2016,An Automated Microwell Platform for Large-Scale Single Cell RNA-Seq,"Yuan J, Sims PA","U54 CA209997, U54 CA193313",,"https://www.ncbi.nlm.nih.gov/sra/SRX2019091[accn], https://www.ncbi.nlm.nih.gov/sra/SRX2019092[accn]",,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE85575,,,,U54,,,Brain,Glioma,Single Cell Sequencing,,,,,,,Not Applicable,,Brain,,,,Sage,2,"CA209997, CA193313",Center for Cancer Systems Therapeutics (CaST)
4627,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=26178156,Protein Sci,2016,A hybrid method for protein-protein interface prediction,"Hwang H, Petrey D, Honig B",U54 CA209997,,,,,,,protein-protein interaction,,U54,,,Not Applicable,Not Applicable,Computational Tool,,,,,,,Not Applicable,,Not Applicable,,,protein-protein interaction,Sage,,CA209997,Center for Cancer Systems Therapeutics (CaST)
4631,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=27936040,PLoS One,2016,A High-Throughput Strategy for Dissecting Mammalian Genetic Interactions,"Stockman VB, Ghamsari L, Lasso G, Honig B, Shapira SD, Wang HH",U54 CA209997,,,,,,,genetic interactions,,U54,,,Kidney,Not Applicable,CRISPR,,,,,,,drug resistance/sensitivity,,Kidney,,,genetic interactions,Sage,1,CA209997,Center for Cancer Systems Therapeutics (CaST)
4638,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29040720,Nucleic Acids Res,2017,Genome-wide prediction of minor-groove electrostatic potential enables biophysical modeling of protein-DNA binding,"Chiu TP, Rao S, Mann RS, Honig B, Rohs R",U54 CA209997,,,,,,,"protein-DNA interactions, computational biology",,U54,,,Not Applicable,Not Applicable,"Mathematical Modeling, Computational Tool",,,,,,,Not Applicable,,Not Applicable,,,"protein-DNA interactions, computational biology",Sage,,CA209997,Center for Cancer Systems Therapeutics (CaST)
4639,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28558729,BMC Genomics,2018,High-throughput validation of ceRNA regulatory networks,"Chiu HS, Martnez MR, Bansal M, Subramanian A, Golub TR, Yang X, Sumazin P, Califano A",U54 CA209997,,,,,,,,,U54,,,"Breast, Prostate","Carcinoma in situ of Breast, Carcinoma in situ of Prostate","High Throughput Screening, Computational Tool",,,,,,,Not Applicable,,"Breast, Prostate",,,,Center,,CA209997,Center for Cancer Systems Therapeutics (CaST)
4951,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29628290,Immunity,2019,The Immune Landscape of Cancer,"Thorsson V, Gibbs DL, Brown SD, Wolf D, Bortone DS, Ou Yang TH, Porta-Pardo E, Gao GF, Plaisier CL, Eddy JA, Ziv E, Culhane AC, Paull EO, Sivakumar IKA, Gentles AJ, Malhotra R, Farshidfar F, Colaprico A, Parker JS, Mose LE, Vo NS, Liu J, Liu Y, Rader J, Dhankani V, Reynolds SM, Bowlby R, Califano A, Cherniack AD, Anastassiou D, Bedognetti D, Rao A, Chen K, Krasnitz A, Hu H, Malta TM, Noushmehr H, Pedamallu CS, Bullman S, Ojesina AI, Lamb A, Zhou W, Shen H, Choueiri TK, Weinstein JN, Guinney J, Saltz J, Holt RA, Rabkin CE, Cancer Genome Atlas Research Network, Lazar AJ, Serody JS, Demicco EG, Disis ML, Vincent BG, Shmulevich L",U54 CA209997,,,,,,,,,U54,,,,,,,,,,,,tumor-immune,,,,,,Center,1,CA209997,Center for Cancer Systems Therapeutics (CaST)
4975,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29023443,PLoS Comput Biol,2017,"Systematic, network-based characterization of therapeutic target inhibitors","Shen Y, Alvarez MJ, Bisikirska B, Lachmann A, Realubit R, Pampou S, Coku J, Karan C, Califano A",U54 CA209997,,,,,,,,,U54,,,,,Unspecified,,,,,,,,,,,,,Center,,CA209997,Center for Cancer Systems Therapeutics (CaST)
5006,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29625070,Cell Stem Cell,2019,A CLK3-HMGA2 Alternative Splicing Axis Impacts Human Hematopoietic Stem Cell Molecular Identity throughout Development,"Cesana M, Guo MH, Cacchiarelli D, Wahlster L, Barragan J, Doulatov S, Vo LT, Salvatori B, Trapnell C, Clement K, Cahan P, Tsanov KM, Sousa PM, Tazon-Vega B, Bolondi A, Giorgi FM, Califano A, Rinn JL, Meissner A, Hirschhorn JN, Daley GQ",U54 CA209997,,,,,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112486 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109093 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109092 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109091 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109090 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109089",,,,U54,,,Blood,,,,,,,,,,,Blood,,,,Center,,CA209997,Center for Cancer Systems Therapeutics (CaST)
4572,196,syn7349745,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28297639,Biophys J,2017,Enhanced Directional Migration of Cancer Stem Cells in 3D Aligned Collagen Matrices,"Ray A, Slama ZM, Morford RK, Madden SA, Provenzano PP",U54 CA210190,,,,,,,"breast carcinoma, migration, cell morphology, imaging",,U54,,,Breast,Carcinoma in situ of Breast,Imaging,,,,,,,"metastasis, microenvironment",,Breast,,,"breast carcinoma, migration, cell morphology, imaging",Center,2,CA210190,Center for Modeling Tumor Cell Migration Mechanics
4578,196,syn7349745,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28381423,Mol Biol Cell,2017,Integrin-mediated traction force enhances paxillin molecular associations and adhesion dynamics that increase the invasiveness of tumor cells into a three-dimensional extracellular matrix,"Mekhdjian AH, Kai F, Rubashkin MG, Prahl LS, Przybyla LM, McGregor AL, Bell ES, Barnes JM, DuFort CC, Ou G, Chang AC, Cassereau L, Tan SJ, Pickup MW, Lakins JN, Ye X, Davidson MW, Lammerding J, Odde DJ, Dunn AR, Weaver VM","U54 CA210184, U54 CA210190",,,,,,,"imaging, microscopy, traction force microscopy, atomic force microscopy, migration, metastasis, breast cancer, proteomics, immunofluourescence, mathematical modeling",,U54,,,Breast,Carcinoma in situ of Breast,Atomic Force Microscopy; Fluorescent Antibody Procedure; Microfluidics; Cell Migration Assay; Traction Force Microscopy; Mathematical Modeling; Microscopy,,,,,,,"metastasis, microenvironment",,Breast,,,"imaging, microscopy, traction force microscopy, atomic force microscopy, migration, metastasis, breast cancer, proteomics, immunofluourescence, mathematical modeling",Center,1,"CA210184, CA210190",Center for Modeling Tumor Cell Migration Mechanics
4925,196,syn7349745,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=29340409,Integr Biol (Camb),2018,Dynamics of 3D carcinoma cell invasion into aligned collagen,"Ray A , Morford RK , Ghaderi N , Odde DJ , Provenzano PP ",U54 CA210190,,,,,,,,,U54,,,Breast,Carcinoma in situ of Breast,Cell Migration Assay; Mathematical Modeling; Tissue Engineering; Multiphoton Microscopy,,,,,,,metastasis,,Breast,,,,Center,2,CA210190,Center for Modeling Tumor Cell Migration Mechanics
4947,196,syn7349745,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=29623978,Integr Biol (Camb),2019,In vitro elucidation of the role of pericellular matrix in metastatic extravasation and invasion of breast carcinoma cells,"Brett ME , Bomberger HE , Doak GR , Price MA , McCarthy JB , Wood DK ",U54 CA210190,,,,,,,,,U54,,,Breast,Carcinoma in situ of Breast,Fluorescent Antibody Procedure; Microfluidics; Flow Cytometry,,,,,,,metastasis,,Breast,,,,Center,2,CA210190,Center for Modeling Tumor Cell Migration Mechanics
4573,196,syn7349745,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28052252,Cell Rep,2017,Biphasic Dependence of Glioma Survival and Cell Migration on CD44 Expression Level,"Klank RL, Decker Grunke SA, Bangasser BL, Forster CL, Price MA, Odde TJ, SantaCruz KS, Rosenfeld SS, Canoll P, Turley EA, McCarthy JB, Ohlfest JR, Odde DJ",U54 CA210190,,,,,,,"glioma, migration, mathematical modeling, biophysical simulation",,U54,,,Brain,Glioblastoma,Immunohistochemistry Staining Method; Western Blotting; Bioluminescence Imaging; Mathematical Modeling; Murine Model,,,,,,,metastasis,,Brain,,,"glioma, migration, mathematical modeling, biophysical simulation",Center,1,CA210190,Center for Modeling Tumor Cell Migration Mechanics
4575,196,syn7349745,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=29150767,Ann Biomed Eng,2019,Cell Migration in 1D and 2D Nanofiber Microenvironments,"Estabridis HM, Jana A, Nain A, Odde DJ",U54 CA210190,,,,,,,"imaging, migration, glioblastoma, mathematical modeling, biophysical simulation",,U54,,,Brain,Glioblastoma,Mathematical Modeling,,,,,,,Not Applicable,,Brain,,,,Center,1,CA210190,Center for Modeling Tumor Cell Migration Mechanics
4576,196,syn7349745,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28530245,Nat Commun,2018,Shifting the optimal stiffness for cell migration,"Bangasser BL, Shamsan GA, Chan CE, Opoku KN, Tzel E, Schlichtmann BW, Kasim JA, Fuller BJ, McCullough BR, Rosenfeld SS, Odde DJ",U54 CA210190,http://oddelab.umn.edu/code/cms%20v1.0.zip,,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE95680,,"migration, mathematical modeling, biophysical simulation, glioma, imaging",,U54,,,Brain,Glioblastoma,Cell Migration Assay; Imaging; Traction Force Microscopy; Fluorescent Antibody Procedure; Mathematical Modeling,,,,,,,Not Applicable,,Brain,,,"migration, mathematical modeling, biophysical simulation, glioma, imaging",Center,1,CA210190,Center for Modeling Tumor Cell Migration Mechanics
