CSBC PSON Center,Consortium,PubMed,Journal,Publication Year,Title,Authors,Grant,Data Location,Synapse Location,Keywords,Abstract,grantType,datasets,studies,tissue_or_organ,diseaseType,experimentalStrategy,featured,dataset name,study name,doi,site,institution,Theme,modifiedOn,tissue_or_organ.sv,diseaseType.sv,experimentalStrategy.sv,Theme.sv,MeSH,MeSH2,sim_text,center
syn7349747,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28522599,J Leukoc Biol,2017,"Engineering macrophages to eat cancer: from ""marker of self"" CD47 and phagocytosis to differentiation","Alvey C, Discher DE",U54 CA193417,,,,"The ability of a macrophage to engulf and break down invading cells and other targets provides a first line of immune defense in nearly all tissues. This defining ability to ""phagos"" or devour can subsequently activate the entire immune system against foreign and diseased cells, and progress is now being made on a decades-old idea of directing macrophages to phagocytose specific targets, such as cancer cells. Engineered T cells provide precedence with recent clinical successes against liquid tumors, but solid tumors remain a challenge, and a handful of clinical trials seek to exploit the abundance of tumor-associated macrophages instead. Although macrophage differentiation into such phenotypes with deficiencies in phagocytic ability can raise challenges, newly recognized features of cancer cells that might be manipulated to increase the phagocytosis of those cells include ≥1 membrane protein, CD47, which broadly inhibits phagocytosis and is abundantly expressed on all healthy cells. Physical properties of the target also influence phagocytosis and again relate-via cytoskeleton forces-to differentiation pathways in solid tumors. Such pathways extend to mechanosensing by the nuclear lamina, which is known to influence signaling by soluble retinoids that can regulate the macrophage SIRPα, the receptor for CD47. Here, we highlight some of those past, present, and rapidly emerging efforts to understand and control macrophages for cancer therapy.",U54,,,,,,,,,,,,,,,,,,"Animals|Antigens, Differentiation/genetics|Antigens, Differentiation/immunology|Biomarkers, Tumor/genetics|Biomarkers, Tumor/immunology|CD47 Antigen/genetics|CD47 Antigen/immunology|Cytophagocytosis/genetics|Genetic Engineering|Humans|Macrophages/immunology|Neoplasms/genetics|Neoplasms/immunology|Neoplasms/therapy|Receptors, Immunologic/genetics|Receptors, Immunologic/immunology|Signal Transduction/genetics|Signal Transduction/immunology|T-Lymphocytes/immunology","Animals|Antigens, Differentiation/genetics|Antigens, Differentiation/immunology|Biomarkers, Tumor/genetics|Biomarkers, Tumor/immunology|CD47 Antigen/genetics|CD47 Antigen/immunology|Cytophagocytosis/genetics|Genetic Engineering|Humans|Macrophages/immunology|Neoplasms/genetics|Neoplasms/immunology|Neoplasms/therapy|Receptors, Immunologic/genetics|Receptors, Immunologic/immunology|Signal Transduction/genetics|Signal Transduction/immunology|T-Lymphocytes/immunology",abil macrophag engulf break invad target provid first line immun defens nearli tissu defin abil phago devour subsequ entir immun system foreign diseas progress made decad old idea direct macrophag phagocytos specif target engin provid preced recent clinic success liquid solid remain challeng hand clinic trial seek exploit abund macrophag instead although macrophag differenti phenotyp defici phagocyt abil rais challeng newli recogn featur might manipul phagocytosi 1 membran cd47 broadli inhibit phagocytosi abundantli healthi physic properti target influenc phagocytosi relat via cytoskeleton forc differenti pathway solid pathway extend mechanosens nuclear lamina known influenc signal solubl retinoid regul macrophag sirpα receptor cd47 highlight past present rapidli emerg effort understand control macrophag therapy.,Physical Science Oncology Center at Penn
syn7349747,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28805800,Nat Chem Biol,2017,Optogenetic control of kinetochore function,"Zhang H, Aonbangkhen C, Tarasovetc EV, Ballister ER, Chenoweth DM, Lampson MA",U54 CA193417,,,"optogenetic control, kinetochores, checkpoint, molecular motors, imaging, confocal microscopy","Kinetochores act as hubs for multiple activities during cell division, including microtubule interactions and spindle checkpoint signaling. Each kinetochore can act autonomously, and activities change rapidly as proteins are recruited to, or removed from, kinetochores. Understanding this dynamic system requires tools that can manipulate kinetochores on biologically relevant temporal and spatial scales. Optogenetic approaches have the potential to provide temporal and spatial control with molecular specificity. Here we report new chemical inducers of protein dimerization that allow us to both recruit proteins to and release them from kinetochores using light. We use these dimerizers to manipulate checkpoint signaling and molecular motor activity. Our findings demonstrate specialized properties of the CENP-E (kinesin-7) motor for directional chromosome transport to the spindle equator and for maintenance of metaphase alignment. This work establishes a foundation for optogenetic control of kinetochore function, which is broadly applicable to experimental probing of other dynamic cellular processes.",U54,,,,,,,,,,,,,,,,,"optogenetic control, kinetochores, checkpoint, molecular motors, imaging, confocal microscopy","Cell Survival|HeLa Cells|Humans|Kinetochores/chemistry|Kinetochores/metabolism|Optogenetics/methods|Tumor Cells, Cultured","Cell Survival|HeLa Cells|Humans|Kinetochores/chemistry|Kinetochores/metabolism|Optogenetics/methods|Tumor Cells, Cultured",kinetochor act hub multipl divis microtubul interact spindl checkpoint signal kinetochor act autonom chang rapidli recruit remov kinetochor understand dynam system requir tool manipul kinetochor biolog relev tempor spatial scale optogenet approach provid tempor spatial control molecular specif new chemic induc dimer allow us recruit releas kinetochor light dimer manipul checkpoint signal molecular motor find special properti cenp e kinesin motor direct chromosom transport spindl equat mainten metaphas align work establish foundat optogenet control kinetochor function broadli applic experiment probe dynam cellular processes.,Physical Science Oncology Center at Penn
syn7349747,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28759889,Nature,2017,Mitotic progression following DNA damage enables pattern recognition within micronuclei,"Harding SM, Benci JL, Irianto J, Discher DE, Minn AJ, Greenberg RA",U54 CA193417,,,"DNA damage, micronuclei, editorial","Inflammatory gene expression following genotoxic cancer therapy is well documented, yet the events underlying its induction remain poorly understood. Inflammatory cytokines modify the tumour microenvironment by recruiting immune cells and are critical for both local and systemic (abscopal) tumour responses to radiotherapy. A poorly understood feature of these responses is the delayed onset (days), in contrast to the acute DNA-damage responses that occur in minutes to hours. Such dichotomous kinetics implicate additional rate-limiting steps that are essential for DNA-damage-induced inflammation. Here we show that cell cycle progression through mitosis following double-stranded DNA breaks leads to the formation of micronuclei, which precede activation of inflammatory signalling and are a repository for the pattern-recognition receptor cyclic GMP-AMP synthase (cGAS). Inhibiting progression through mitosis or loss of pattern recognition by stimulator of interferon genes (STING)-cGAS impaired interferon signalling. Moreover, STING loss prevented the regression of abscopal tumours in the context of ionizing radiation and immune checkpoint blockade in vivo. These findings implicate temporal modulation of the cell cycle as an important consideration in the context of therapeutic strategies that combine genotoxic agents with immune checkpoint blockade.",U54,,,"Skin, NOS",Skin Cutaneous Melanoma,,,,,,,,tumor-immune,,,,,"DNA damage, micronuclei, editorial","Animals|CTLA-4 Antigen/antagonists & inhibitors|Cell Cycle Checkpoints|Cell Line, Tumor|DNA Breaks, Double-Stranded|DNA Damage|Disease Models, Animal|Female|Humans|Inflammation/metabolism|Inflammation/pathology|Interferons/metabolism|Melanoma, Experimental/drug therapy|Melanoma, Experimental/metabolism|Melanoma, Experimental/pathology|Membrane Proteins/metabolism|Mice|Mice, Inbred C57BL|Micronuclei, Chromosome-Defective|Mitosis|Nucleotidyltransferases/metabolism|Receptors, Pattern Recognition/metabolism|Signal Transduction","Animals|CTLA-4 Antigen/antagonists & inhibitors|Cell Cycle Checkpoints|Cell Line, Tumor|DNA Breaks, Double-Stranded|DNA Damage|Disease Models, Animal|Female|Humans|Inflammation/metabolism|Inflammation/pathology|Interferons/metabolism|Melanoma, Experimental/drug therapy|Melanoma, Experimental/metabolism|Melanoma, Experimental/pathology|Membrane Proteins/metabolism|Mice|Mice, Inbred C57BL|Micronuclei, Chromosome-Defective|Mitosis|Nucleotidyltransferases/metabolism|Receptors, Pattern Recognition/metabolism|Signal Transduction",inflammatori follow genotox therapi well document yet event underli induct remain poorli understood inflammatori cytokin modifi tumour microenviron recruit immun critic local system abscop tumour respons radiotherapi poorli understood featur respons delay onset day contrast acut dna damag respons occur minut hour dichotom kinet implic addit rate limit step essenti dna damag induc inflamm cycl progress mitosi follow doubl strand dna break lead format micronuclei preced inflammatori signal repositori pattern recognit receptor cyclic gmp amp synthas cga inhibit progress mitosi loss pattern recognit stimul interferon sting cga impair interferon signal moreov sting loss prevent regress abscop tumour context ioniz radiat immun checkpoint blockad vivo find implic tempor modul cycl import consider context therapeut strategi combin genotox agent immun checkpoint blockade.,Physical Science Oncology Center at Penn
syn7349747,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=27531962,Proc Natl Acad Sci U S A,2016,Curvature-undulation coupling as a basis for curvature sensing and generation in bilayer membranes,"Bradley RP, Radhakrishnan R",U54 CA193417,,,"coarse-grained molecular dynamics, curvature-inducing proteins, equipartition, fluctuation analysis, membrane undulations","We present coarse-grained molecular dynamics simulations of the epsin N-terminal homology domain interacting with a lipid bilayer and demonstrate a rigorous theoretical formalism and analysis method for computing the induced curvature field in varying concentrations of the protein in the dilute limit. Our theory is based on the description of the height-height undulation spectrum in the presence of a curvature field. We formulated an objective function to compare the acquired undulation spectrum from the simulations to that of the theory. We recover the curvature field parameters by minimizing the objective function even in the limit where the protein-induced membrane curvature is of the same order as the amplitude due to thermal undulations. The coupling between curvature and undulations leads to significant predictions: (i) Under dilute conditions, the proteins can sense a site of spontaneous curvature at distances much larger than their size; (ii) as the density of proteins increases the coupling focuses and stabilizes the curvature field to the site of the proteins; and (iii) the mapping of the protein localization and the induction of a stable curvature is a cooperative process that can be described through a Hill function.",U54,,,,,,,,,,,,,,,,,"coarse-grained molecular dynamics, curvature-inducing proteins, equipartition, fluctuation analysis, membrane undulations","Algorithms|Cell Membrane/chemistry|Cell Membrane/metabolism|Computer Simulation|Lipid Bilayers/chemistry|Lipid Bilayers/metabolism|Membrane Lipids/chemistry|Membrane Lipids/metabolism|Membrane Proteins/chemistry|Membrane Proteins/metabolism|Models, Chemical|Molecular Dynamics Simulation|Thermodynamics","Algorithms|Cell Membrane/chemistry|Cell Membrane/metabolism|Computer Simulation|Lipid Bilayers/chemistry|Lipid Bilayers/metabolism|Membrane Lipids/chemistry|Membrane Lipids/metabolism|Membrane Proteins/chemistry|Membrane Proteins/metabolism|Models, Chemical|Molecular Dynamics Simulation|Thermodynamics",present coars grain molecular dynam simul epsin n termin homolog domain interact lipid bilay rigor theoret formal comput induc curvatur field vari concentr dilut limit theori base descript height height undul spectrum presenc curvatur field formul object function acquir undul spectrum simul theori recov curvatur field paramet minim object function even limit induc membran curvatur order amplitud due thermal undul coupl curvatur undul lead predict (i dilut condit sens site spontan curvatur distanc much larger size (ii densiti coupl focus stabil curvatur field site iii map local induct stabl curvatur cooper process describ hill function.,Physical Science Oncology Center at Penn
syn7349747,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28532215,Annu Rev Biophys,2017,"Matrix Mechanosensing: From Scaling Concepts in 'Omics Data to Mechanisms in the Nucleus, Regeneration, and Cancer","Discher DE, Smith L, Cho S, Colasurdo M, Garca AJ, Safran S",U54 CA193417,,,"polymer physics, collagen, lamins, myosin, contractility, epigenetics, mechanosensing, matrix stiffness, review, lamin A","Many of the most important molecules of life are polymers. In animals, the most abundant of the proteinaceous polymers are the collagens, which constitute the fibrous matrix outside cells and which can also self-assemble into gels. The physically measurable stiffness of gels, as well as tissues, increases with the amount of collagen, and cells seem to sense this stiffness. An understanding of this mechanosensing process in complex tissues, including fibrotic disease states with high collagen, is now utilizing 'omics data sets and is revealing polymer physics-type, nonlinear scaling relationships between concentrations of seemingly unrelated biopolymers. The nuclear structure protein lamin A provides one example, with protein and transcript levels increasing with collagen 1 and tissue stiffness, and with mechanisms rooted in protein stabilization induced by cytoskeletal stress. Physics-based models of fibrous matrix, cytoskeletal force dipoles, and the lamin A gene circuit illustrate the wide range of testable predictions emerging for tissues, cell cultures, and even stem cell-based tissue regeneration. Beyond the epigenetics of mechanosensing, the scaling in cancer of chromosome copy number variations and other mutations with tissue stiffness suggests that genomic changes are occurring by mechanogenomic processes that now require elucidation.",U54,,,,,,,,,,,,,,,,,"polymer physics, collagen, lamins, myosin, contractility, epigenetics, mechanosensing, matrix stiffness, review, lamin A","Animals|Biopolymers/metabolism|Cell Nucleus/genetics|Cell Nucleus/metabolism|Collagen/physiology|Cytoskeleton/metabolism|DNA Copy Number Variations|Epigenesis, Genetic|Gene Expression Regulation|Humans|Mechanotransduction, Cellular|Neoplasms/genetics|Neoplasms/metabolism|Proteome/metabolism|Regeneration|Stem Cell Transplantation|Transcriptome","Animals|Biopolymers/metabolism|Cell Nucleus/genetics|Cell Nucleus/metabolism|Collagen/physiology|Cytoskeleton/metabolism|DNA Copy Number Variations|Epigenesis, Genetic|Gene Expression Regulation|Humans|Mechanotransduction, Cellular|Neoplasms/genetics|Neoplasms/metabolism|Proteome/metabolism|Regeneration|Stem Cell Transplantation|Transcriptome",mani import molecul life polym anim abund proteinac polym collagen constitut fibrou matrix outsid self assembl gel physic measur stiff gel well tissu amount collagen seem sens stiff understand mechanosens process complex tissu fibrot diseas state high collagen util omic set reveal polym physic type nonlinear scale relationship concentr seemingli unrel biopolym nuclear structur lamin provid exampl transcript collagen tissu stiff mechan root stabil induc cytoskelet stress physic base model fibrou matrix cytoskelet forc dipol lamin circuit illustr wide rang testabl predict emerg tissu cultur even stem base tissu regener beyond epigenet mechanosens scale chromosom copi number variat mutat tissu stiff genom chang occur mechanogenom process requir elucidation.,Physical Science Oncology Center at Penn
syn7349747,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28669759,Curr Biol,2017,"SIRPA-Inhibited, Marrow-Derived Macrophages Engorge, Accumulate, and Differentiate in Antibody-Targeted Regression of Solid Tumors","Alvey CM, Spinler KR, Irianto J, Pfeifer CR, Hayes B, Xia Y, Cho S, Dingal PCPD, Hsu J, Smith L, Tewari M, Discher DE",U54 CA193417,,,,"Marrow-derived macrophages are highly phagocytic, but whether they can also traffic into solid tumors and engulf cancer cells is questionable, given the well-known limitations of tumor-associated macrophages (TAMs). Here, SIRPα on macrophages from mouse and human marrow was inhibited to block recognition of its ligand, the ""marker of self"" CD47 on all other cells. These macrophages were then systemically injected into mice with fluorescent human tumors that had been antibody targeted. Within days, the tumors regressed, and single-cell fluorescence analyses showed that the more the macrophages engulfed, the more they accumulated within regressing tumors. Human-marrow-derived macrophages engorged on the human tumors, while TAMs were minimally phagocytic, even toward CD47-knockdown tumors. Past studies had opsonized tumors in situ with antibody and/or relied on mouse TAMs but had not injected SIRPα-inhibited cells; also, unlike past injections of anti-CD47, blood parameters remained normal and safe. Consistent with tumor-selective engorge-and-accumulate processes in vivo, phagocytosis in vitro inhibited macrophage migration through micropores that mimic features of dense 3D tissue. Accumulation of SIRPα-inhibited macrophages in tumors favored tumor regression for 1-2 weeks, but donor macrophages quickly differentiated toward non-phagocytic, high-SIRPα TAMs. Analyses of macrophages on soft (like marrow) or stiff (like solid tumors) collagenous gels demonstrated a stiffness-driven, retinoic-acid-modulated upregulation of SIRPα and the mechanosensitive nuclear marker lamin-A. Mechanosensitive differentiation was similarly evident in vivo and likely limited the anti-tumor effects, as confirmed by re-initiation of tumor regression by fresh injections of SIRPα-inhibited macrophages. Macrophage motility, phagocytosis, and differentiation in vivo are thus coupled.",U54,,,Bone marrow,Not Applicable,flow cytometry,,,,,,,tumor-immune,,,,,,"Animals|Antigens, Differentiation/genetics|Antigens, Differentiation/metabolism|Bone Marrow|Cell Differentiation|Cell Line|Humans|Macrophages/immunology|Macrophages/physiology|Mice|Neoplasms/metabolism|Receptors, Immunologic/genetics|Receptors, Immunologic/metabolism|Signal Transduction","Animals|Antigens, Differentiation/genetics|Antigens, Differentiation/metabolism|Bone Marrow|Cell Differentiation|Cell Line|Humans|Macrophages/immunology|Macrophages/physiology|Mice|Neoplasms/metabolism|Receptors, Immunologic/genetics|Receptors, Immunologic/metabolism|Signal Transduction",marrow deriv macrophag highli phagocyt whether traffic solid engulf question given well known limit macrophag tam sirpα macrophag mous human marrow inhibit block recognit ligand marker self cd47 macrophag system inject mice fluoresc human antibodi target within day regress singl fluoresc analys macrophag engulf accumul within regress human marrow deriv macrophag engorg human tam minim phagocyt even toward cd47 knockdown past opson situ antibodi andor reli mous tam inject sirpα inhibit unlik past inject anti cd47 blood paramet remain normal safe consist select engorg accumul process vivo phagocytosi vitro inhibit macrophag migrat micropor mimic featur dens 3d tissu accumul sirpα inhibit macrophag favor regress 2 week donor macrophag quickli differenti toward non phagocyt high sirpα tam analys macrophag soft like marrow stiff like solid collagen gel stiff driven retino acid modul upregul sirpα mechanosensit nuclear marker lamin mechanosensit differenti similarli evid vivo like limit anti confirm initi regress fresh inject sirpα inhibit macrophag macrophag motil phagocytosi differenti vivo thu coupled.,Physical Science Oncology Center at Penn
syn7349747,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28566555,Mol Biol Cell,2017,Cross-linked matrix rigidity and soluble retinoids synergize in nuclear lamina regulation of stem cell differentiation,"Ivanovska IL, Swift J, Spinler K, Dingal D, Cho S, Discher DE",U54 CA193417,,,"matrix stiffness, lamin A, stem cell differentiation, atomic force microscopy","Synergistic cues from extracellular matrix and soluble factors are often obscure in differentiation. Here the rigidity of cross-linked collagen synergizes with retinoids in the osteogenesis of human marrow mesenchymal stem cells (MSCs). Collagen nanofilms serve as a model matrix that MSCs can easily deform unless the film is enzymatically cross-linked, which promotes the spreading of cells and the stiffening of nuclei as both actomyosin assembly and nucleoskeletal lamin-A increase. Expression of lamin-A is known to be controlled by retinoic acid receptor (RAR) transcription factors, but soft matrix prevents any response to any retinoids. Rigid matrix is needed to induce rapid nuclear accumulation of the RARG isoform and for RARG-specific antagonist to increase or maintain expression of lamin-A as well as for RARG-agonist to repress expression. A progerin allele of lamin-A is regulated in the same manner in iPSC-derived MSCs. Rigid matrices are further required for eventual expression of osteogenic markers, and RARG-antagonist strongly drives lamin-A-dependent osteogenesis on rigid substrates, with pretreated xenografts calcifying in vivo to a similar extent as native bone. Proteomics-detected targets of mechanosensitive lamin-A and retinoids underscore the convergent synergy of insoluble and soluble cues in differentiation.",U54,,,Not reported,Not Applicable,Proteomics,,,,,,,microenvironment,,,,,"matrix stiffness, lamin A, stem cell differentiation, atomic force microscopy","Animals|Bone and Bones/metabolism|Cell Culture Techniques|Cell Differentiation|Cell Movement|Cells, Cultured|Collagen/metabolism|Extracellular Matrix/metabolism|Extracellular Matrix/physiology|Humans|Induced Pluripotent Stem Cells/cytology|Induced Pluripotent Stem Cells/metabolism|Lamin Type A/metabolism|Mesenchymal Stem Cells/cytology|Mesenchymal Stem Cells/metabolism|Nuclear Lamina/metabolism|Osteogenesis|Rats|Receptors, Retinoic Acid|Retinoids|Transcription Factors","Animals|Bone and Bones/metabolism|Cell Culture Techniques|Cell Differentiation|Cell Movement|Cells, Cultured|Collagen/metabolism|Extracellular Matrix/metabolism|Extracellular Matrix/physiology|Humans|Induced Pluripotent Stem Cells/cytology|Induced Pluripotent Stem Cells/metabolism|Lamin Type A/metabolism|Mesenchymal Stem Cells/cytology|Mesenchymal Stem Cells/metabolism|Nuclear Lamina/metabolism|Osteogenesis|Rats|Receptors, Retinoic Acid|Retinoids|Transcription Factors",synergist cue extracellular matrix solubl factor often obscur differenti rigid cross link collagen synerg retinoid osteogenesi human marrow mesenchym stem msc collagen nanofilm serv model matrix msc easili deform unless film enzymat cross link promot spread stiffen nuclei actomyosin assembl nucleoskelet lamin lamin known control retino acid receptor rar transcript factor soft matrix prevent respons retinoid rigid matrix need induc rapid nuclear accumul rarg isoform rarg specif antagonist maintain lamin well rarg agonist repress progerin allel lamin regul manner ipsc deriv msc rigid matric requir eventu osteogen marker rarg antagonist strongli drive lamin depend osteogenesi rigid substrat pretreat xenograft calcifi vivo similar extent nativ bone proteom detect target mechanosensit lamin retinoid underscor converg synergi insolubl solubl cue differentiation.,Physical Science Oncology Center at Penn
syn7349747,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28569910,Phys Chem Chem Phys,2017,Cations induce shape remodeling of negatively charged phospholipid membranes,"Graber ZT, Shi Z, Baumgart T",U54 CA193417,,,"membrane structure, Ca2+, imaging, confocal microscopy","The divalent cation Ca<sup>2+</sup> is a key component in many cell signaling and membrane trafficking pathways. Ca<sup>2+</sup> signal transduction commonly occurs through interaction with protein partners. However, in this study we show a novel mechanism by which Ca<sup>2+</sup> may impact membrane structure. We find an asymmetric concentration of Ca<sup>2+</sup> across the membrane triggers deformation of membranes containing negatively charged lipids such as phosphatidylserine (PS) and phosphatidylinositol-4,5-bisphosphate (PI(4,5)P<sub>2</sub>). Membrane invaginations in vesicles were observed forming away from the leaflet with higher Ca<sup>2+</sup> concentration, showing that Ca<sup>2+</sup> induces negative curvature. We hypothesize that the negative curvature is produced by Ca<sup>2+</sup>-induced clustering of PS and PI(4,5)P<sub>2</sub>. In support of this notion, we find that Ca<sup>2+</sup>-induced membrane deformation is stronger for membranes containing PI(4,5)P<sub>2</sub>, which is known to more readily cluster in the presence of Ca<sup>2+</sup>. The observed Ca<sup>2+</sup>-induced membrane deformation is strongly influenced by Na<sup>+</sup> ions. A high symmetric [Na<sup>+</sup>] across the membrane reduces Ca<sup>2+</sup> binding by electrostatic shielding, inhibiting Ca<sup>2+</sup>-induced membrane deformation. An asymmetric [Na<sup>+</sup>] across the membrane, however, can either oppose or support Ca<sup>2+</sup>-induced deformation, depending on the direction of the gradient in [Na<sup>+</sup>]. At a sufficiently high asymmetric Na<sup>+</sup> concentration it can impact membrane structure in the absence of Ca<sup>2+</sup>. We propose that Ca<sup>2+</sup> works in concert with curvature generating proteins to modulate membrane curvature and shape transitions. This novel structural impact of Ca<sup>2+</sup> could be important for Ca<sup>2+</sup>-dependent cellular processes that involve the creation of membrane curvature, including exocytosis, invadopodia, and cell motility.",U54,,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,"membrane structure, Ca2+, imaging, confocal microscopy","Calcium/chemistry|Calcium/metabolism|Cations, Divalent/chemistry|Phosphatidylinositol 4,5-Diphosphate/chemistry|Phosphatidylserines/chemistry|Unilamellar Liposomes/chemical synthesis|Unilamellar Liposomes/chemistry|Unilamellar Liposomes/metabolism","Calcium/chemistry|Calcium/metabolism|Cations, Divalent/chemistry|Phosphatidylinositol 4,5-Diphosphate/chemistry|Phosphatidylserines/chemistry|Unilamellar Liposomes/chemical synthesis|Unilamellar Liposomes/chemistry|Unilamellar Liposomes/metabolism",dival cation ca key compon mani signal membran traffick pathway ca signal transduct commonli occur interact partner novel mechan ca impact membran structur find asymmetr concentr ca across membran trigger deform membran contain neg charg lipid phosphatidylserin ps phosphatidylinositol bisphosph pi p membran invagin vesicl form away leaflet higher ca concentr ca induc neg curvatur hypothes neg curvatur produc ca induc cluster ps pi p support notion find ca induc membran deform stronger membran contain pi p known readili cluster presenc ca ca induc membran deform strongli influenc na ion high symmetr na across membran reduc ca bind electrostat shield inhibit ca induc membran deform asymmetr na across membran either oppos support ca induc deform depend direct gradient na suffici high asymmetr na concentr impact membran structur absenc ca propos ca work concert curvatur gener modul membran curvatur shape transit novel structur impact ca could import ca depend cellular process involv creation membran curvatur exocytosi invadopodia motility.,Physical Science Oncology Center at Penn
syn7349747,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28587976,Semin Cell Dev Biol,2017,"Mechanosensing of matrix by stem cells: From matrix heterogeneity, contractility, and the nucleus in pore-migration to cardiogenesis and muscle stem cells in vivo","Smith L, Cho S, Discher DE",U54 CA193417,,,"matrix elasticity, matrix stiffness, nucleus, lamin A, lamin C, Myosin-II, review, mechanosensing","Stem cells are particularly 'plastic' cell types that are induced by various cues to become specialized, tissue-functional lineages by switching on the expression of specific gene programs. Matrix stiffness is among the cues that multiple stem cell types can sense and respond to. This seminar-style review focuses on mechanosensing of matrix elasticity in the differentiation or early maturation of a few illustrative stem cell types, with an intended audience of biologists and physical scientists. Contractile forces applied by a cell's acto-myosin cytoskeleton are often resisted by the extracellular matrix and transduced through adhesions and the cytoskeleton ultimately into the nucleus to modulate gene expression. Complexity is added by matrix heterogeneity, and careful scrutiny of the evident stiffness heterogeneity in some model systems resolves some controversies concerning matrix mechanosensing. Importantly, local stiffness tends to dominate, and 'durotaxis' of stem cells toward stiff matrix reveals a dependence of persistent migration on myosin-II force generation and also rigid microtubules that confer directionality. Stem and progenitor cell migration in 3D can be further affected by matrix porosity as well as stiffness, with nuclear size and rigidity influencing niche retention and fate choices. Cell squeezing through rigid pores can even cause DNA damage and genomic changes that contribute to de-differentiation toward stem cell-like states. Contraction of acto-myosin is the essential function of striated muscle, which also exhibit mechanosensitive differentiation and maturation as illustrated in vivo by beating heart cells and by the regenerative mobilization of skeletal muscle stem cells.",U54,,,,,,,,,,,,,,,,,"matrix elasticity, matrix stiffness, nucleus, lamin A, lamin C, Myosin-II, review, mechanosensing",Animals|Cell Movement|Cell Nucleus|Heart/embryology|Humans|Myocardium/cytology|Organogenesis|Stem Cells/cytology,Animals|Cell Movement|Cell Nucleus|Heart/embryology|Humans|Myocardium/cytology|Organogenesis|Stem Cells/cytology,stem particularli plastic type induc variou cue becom special tissu function lineag switch specif program matrix stiff among cue multipl stem type sens respond seminar style review focus mechanosens matrix elast differenti earli matur illustr stem type intend audienc biologist physic scientist contractil forc appli acto myosin cytoskeleton often resist extracellular matrix transduc adhes cytoskeleton ultim nucleu modul complex ad matrix heterogen care scrutini evid stiff heterogen model system resolv controversi concern matrix mechanosens importantli local stiff tend domin durotaxi stem toward stiff matrix reveal depend persist migrat myosin ii forc gener rigid microtubul confer direction stem progenitor migrat 3d affect matrix poros well stiff nuclear size rigid influenc nich retent fate choic squeez rigid pore even caus dna damag genom chang contribut de differenti toward stem like state contract acto myosin essenti function striat muscl exhibit mechanosensit differenti matur illustr vivo beat heart regen mobil skelet muscl stem cells.,Physical Science Oncology Center at Penn
syn7349747,PS-ON,https://www.ncbi.nlm.nih.gov/pubmed/?term=28591600,Biophys J,2017,Elastic-Fluid Model for DNA Damage and Mutation from Nuclear Fluid Segregation Due to Cell Migration,"Bennett RR, Pfeifer CR, Irianto J, Xia Y, Discher DE, Liu AJ",U54 CA193417,,,"DNA damage, nuclear deformation, migration, mathematical modeling, constriction","When cells migrate through constricting pores, they incur DNA damage and develop genomic variation. Experiments show that this damage is not due to DNA breakage from mechanical stress on chromatin in the deformed nucleus. Here we propose a model for a mechanism by which nuclear deformation can lead to DNA damage. We treat the nucleus as an elastic-fluid system with an elastic component (chromatin) and fluid component that can be squeezed out when the nucleus is deformed. We couple the elastic-fluid model to the kinetics of DNA breakage and repair by assuming that the local volume fraction of the elastic component controls the rate of damage per unit volume due to naturally occurring DNA breaks, whereas the volume fraction of the fluid component controls the rate of repair of DNA breaks per unit volume by repair factors, which are soluble in the fluid. By comparing our results to a number of experiments on controlled migration through pores, we show that squeeze-out of the fluid, and hence of the mobile repair factors, is sufficient to account for the extent of DNA damage and genomic variation observed experimentally. We also use our model for migration through a cylindrical pore to estimate the variation with tissue stiffness of the mutation rate in tumors.",U54,,,Not Reported,Not Applicable,,,,,,,,metastasis,,,,,"DNA damage, nuclear deformation, migration, mathematical modeling, constriction","Animals|Cell Movement/genetics|Cell Movement/physiology|Cell Nucleus/physiology|DNA Damage|Elasticity|Kinetics|Models, Biological|Mutation|Neoplasms/genetics|Neoplasms/physiopathology","Animals|Cell Movement/genetics|Cell Movement/physiology|Cell Nucleus/physiology|DNA Damage|Elasticity|Kinetics|Models, Biological|Mutation|Neoplasms/genetics|Neoplasms/physiopathology",migrat constrict pore incur dna damag genom variat experi damag due dna breakag mechan stress chromatin deform nucleu propos model mechan nuclear deform lead dna damag treat nucleu elast fluid system elast compon chromatin fluid compon squeez nucleu deform coupl elast fluid model kinet dna breakag repair assum local volum fraction elast compon control rate damag per unit volum due natur occur dna break wherea volum fraction fluid compon control rate repair dna break per unit volum repair factor solubl fluid number experi control migrat pore squeez fluid henc mobil repair factor suffici account extent dna damag genom variat experiment model migrat cylindr pore estim variat tissu stiff mutat rate tumors.,Physical Science Oncology Center at Penn
