Stanford University Center for Cancer Systems Biology	Project	1	Murine modeling of tumor-mediated immunosuppression	"'We hypothesize that lymph node (LN) metastasis constitutes an essential step in the metastatic cascade of melanomas and head and neck tumors in that such metastases act locally upon the adaptive immune system within the nodes to induce tolerance to the tumor and that leukocytes recirculating from these nodes carry the tolerance to distant sites. Our objectives are to establish whether LN metastases induce perturbations in anti-tumor immunity and to identify the mechanisms of these perturbations. We will a) characterize differences in local and systemic immune responses to metastatic tumors; b) identify differential regulators of tolerance induction by metastatic cells through the use of genomic profiling; and c) identify the molecular mediators of metastatic tolerance induction in mice and humans. Through the use of serial in vivo passaging, we have developed a panel of syngeneic melanoma cell lines that exhibit enhanced LN metastatic potential. We will compare the activation states of these immune cells, cytokine profiles, T cell polarization, and cytolytic activity toward tumor cells using single cell proteomic methods (Project 2). Using cytokine profiling and RNA sequencing on the lines, we will apply computational systems biology approaches (Project 3) to identify the molecules relevant for induction of tolerance. If our hypothesis is proven correct that LN metastasis is an obligate step in the generation of systemic disease due to tolerance induction, targeting the molecules responsible for LN metastasis induced tolerance could prevent and treat metastatic disease.'"
Stanford University Center for Cancer Systems Biology	Project	2	Spatial architecture of tumor-mediated immunosuppression	"'Beyond the internal genomic and epigenetic events that occur to drive a cell towards outright carcinogenesis and then metastasis, there co-exist the ordered events a cancer imposes on immune cells it encounters on its progression towards advanced disease. Induction of tolerance, avoidance of apoptosis, and even recruitment of the immune system to aid a tumor’s growth are all poorly understood processes. We propose to undertake deep phenotyping of the 2D and 3D architecture of tumour-lymph node micro-environment—wherein it is expected some of the initial phases of the tumor’s avoidance and recruitment mechanisms are implemented. How is the architecture of the immune environment disrupted in the face of tumor metastasis? Are their micro-communities (as defined by particular cell-cell interactions) whose presence or absence defines an outcome in progression of the tumor? To this end we have developed a technology (ABSeq) that enables us to sensitively and quantitatively image tumors with 60 markers per 3 hours (scalable to 480 in a time-dependent manner) with markers selected from a range of intracellular or surface epitopes (recognized by antibodies) or RNAs. The hypothesis is that an orchestrated corruption of immune surveillance is initiated by cancers as they progress, and that the micro-scale architecture of the lymph node (by way of which cells are talking to whom and what broader effects occur across the lymph node and beyond) is disrupted in a defined manner. A major aim of the research is to, with ABSeq, define the 2D and 3D architecture and communities of immune and cancer cells in draining lymph nodes from 2 cancers (melanoma and head and neck cancer) in murine models and with human samples. Databases of 2D and 3D microenvironments will be publicly created and mined for associations that define the architectural changes that occur as tumors progress and initiate tolerance.'"
Stanford University Center for Cancer Systems Biology	Project	3	Integrative computational modeling of tumor-mediated immunosuppression	"'We will develop and apply computational tools to integrate the complex datasets generated by our Center in order to identify candidate mediators of tumor-immune interactions that induce immunosuppression for functional validation. To enrich our ability for interpretation, we will explore signatures of the immune system in a pan-cancer analysis using the TCGA datasets annotated with time to distant metastasis, in the context of node-negative and nodepositive patients. We hypothesize that pan-cancer genes whose expression is strongly associated with time to distant metastasis are more likely to be associated with tumor-intrinsic or microenvironmental processes driving metastasis progression, thus we will prioritize these genes in our integrative computational analysis of our melanoma and head and neck squamous cell carcinoma datasets. Using the RNAseq data generated by our study, we will develop and apply novel network-based computational methods for reconstructing the interactions between malignant and immune subpopulations. Moreover, we will develop and apply new approaches to integrate the spatial information from high dimensional single cell in situ images from Project 2 with the gene expression datasets to further refine our inferences of candidate mediators of immunosuppression. The datasets and computational resources developed by our Project, and Center at large, will not only enable use to deeply explore the role of lymph nodes in tumor-mediated immunosuppression, but will also provide the community with powerful resources for understanding systemic influences on the forces governing metastatic dissemination.'"
Stanford University Center for Cancer Systems Biology	Core	1	Biospecimen and Data Management	"'Our Biospecimen and Data Management Core will be utilized by all the Research Projects in our Center. All three Research Projects aim to identify mechanisms by which tumor cells, metastatic to regional lymph nodes, interface with the host immune system to perturb systemic immunity to induce global immune tolerance. While we will methodically study this process in murine models (Project 1), analysis of human tumor and lymph node specimens is paramount for two primary reasons. The first reason is to ensure the translation of the murine discovery approach to human disease. The second reason is to facilitate the discovery of critical mediators of tumor-induced immunosuppression directly from the human samples, then follow with functional validation in our murine models. Hence it is critical that we establish the necessary infrastructure to procure viable human tumor specimens and autologous immune tumorinfiltrating immune cells. Importantly, matched sets of fresh primary tumor cells, metastatic tumor cells, tumor-infiltrating immune cells (from the primary tumor and the lymph nodes) and circulating immune cells will be collected to address the hypotheses and goals of the Research Projects. Furthermore, in this shared core, a database of clinical annotation (aka clinical metadata) for these matched samples will be created and maintained. This clinical metadata is critical for interpretation of our molecular and imaging data given tumor and patient heterogeneity and will likely provide important insight into how the data generated by the proposed projects may be used to guide treatment and predict outcome. Our proposed Biospecimen and Data Management Core that will focus on collecting tissue and collating all the molecular data on our two index cancer models: melanoma and head and neck squamous cell carcinoma (HNSCC).'"
Stanford University Center for Cancer Systems Biology	Core	2	Outreach	"'Stanford University has a diverse range of faculty in biostatistics, computer science, applied mathematics, cancer biology, immunology, biomedical engineering and many other disciplines. A number of transformative technologies such as DNA microarrays, flow cytometry, single cell transcriptomics, and applications of next generation sequencing had their genesis in labs here. We are therefore in a unique environment for promoting cancer systems biology to a wide audience of researchers, the relevance of whose expertise to the field may not be obvious a priori. We envisage that our efforts to promote our research and those of others to the Stanford community will seed new collaborations across disciplines. We will conduct outreach through regular seminar series and meetings, an annual symposium, funding for pilot projects, as well as participation in the CSBC Postdoctoral Exchange Program that will place researchers at reciprocal institutions to have short-term dense exposure to relevant research objectives and expertise at other institutions. And finally, important collaborative possibilities with the other CSBC Research Centers will be facilitated by their updates provided at annual meetings, as well as in our newsletter. The great value of this new NCI Consortium will be harnessed by ongoing building of an expansive investigator network across universities and research centers.'"
Systems Analysis of Phenotypic Switch in Control of Cancer Invasion	Project	1	Analysis of Cell Autonomous Mechanisms of Phenotypic Plasticity in Invasive Cell Spread	"'The goal of this project is to obtain a better quantitative understanding of the complex regulation and characteristic of the invasive phenotypic state. The analysis in the project is aimed at the cell autonomous view of regulation, without explicit emphasis of cell-cell interactions. We will combine a variety of tools and approaches, including combining experimentation and mathematical modeling.\n\n&nbsp;\n\nWe are able to separate slow moving, proliferative cells from fast moving, migratory cells (and enrich each phenotype) using a “phenotypic filter” through an assay called Rapid Analysis of Cell migration Enhancement (RACE). This assay employs nano-fabricated surfaces that result in rapid and highly oriented cell migration. Preliminary results using RACE not only suggest that the assay can help identify molecular mechanisms of the Proliferative-to-Aggressive phenotypic switch but have also led us to develop a preliminary mathematical model describing how specific kinases, thought to be activated by the same growth factors, can be differentially active in different cell sub-populations. In addition, using synthetic biology techniques, we have created a new platform for generating novel kinase inhibitors that can be used to, for the first time, target kinases considered to be “difficult” to target due to their orphan status and unclear regulation mechanisms. When possible, the mechanistic significance in cancer invasion and spreading of newly identified and targeted kinases will be examined using biophysical approaches that can determine whether and how cytoskeletally-mediated processes leading to cell migration have been triggered.'"
Systems Analysis of Phenotypic Switch in Control of Cancer Invasion	Project	2	Analysis of Non-Cell-Autonomous (Cell Communication-Dependent) Mechanisms of Phenotypic Plasticity in Invasive Cell Spread	"'Preliminary data from the RACE assay (see Project 1) combined with additional evidence suggests that both cancer cell-cancer cell and cancer cell-stroma interactions are critically important for controlling the Proliferative-to-Aggressive phenotypic switch and the ensuing invasive cancer spread. Therefore, in Project 2, our goal is to identify and analyze novel targets as possible regulators of invasive cancer phenotype, particularly ones involved in cell-cell interactions. The key novelty in this project is in the realization that invasive cancer migration has many similarities with normal, invasive processes occurring in developmental or physiological processes, such as wound healing or development of the placental tissue.\n\n&nbsp;\n\nWe will examine, in a species-dependent fashion, whether stromal cells exert differential resistance to or cooperation with the invasive cancer spread. A focus will be on the differential expression of specific chemo-attractants and chemo-repellents that are frequently associated with angigogenesis or neuronal migration. We will study the mechanisms regulating communication and putative interaction between cells adopting a more proliferative phenotype with cells adopting a more migratory phenotype. We will use novel techniques and approaches in Project 2 to perturb and validate possible novel targets as regulators of invasive cancer phenotype. Analysis of such targets will be conducted in collaboration with Project 1, since many of the techniques used in these projects are compatible and mutually enriching.'"
Systems Analysis of Phenotypic Switch in Control of Cancer Invasion	Core	1	Microfabrication	"'Core 1 will offer two key microfabricated platforms and assays to enable two different measurements. First, to measure at the scale of a single cancer cell, the migration and invasiveness of melanoma and glioblastoma cell populations in response to combinations of external cues. This will enable the RACE assay, analysis of the cell migration in different types of channels, and a new assay aimed at investigation of heterotypic cell communication. Second, to measure a panel of paracrine signals mediating heterotypic cell-cell communication that drive non-autonomous cancer progression.'"
Systems Analysis of Phenotypic Switch in Control of Cancer Invasion	Core	2	Animal	"'Core 2 will focus on the validation of the molecular targets and mechanisms involved in phenotypic switching between proliferative and invasive cancer phenotypes. This will be achieved using novel CRISPR-based models of cancer invasion and metastasis. This will allow us to explore the progression of disease following genetic perturbation of molecules of interest identified in the RACE assay, for example, in the analysis of homo- and hetero-typic cell interactions. Viral libraries generated by Core 2 will be used to perform in vivo high throughput analysis, aimed at assaying multiple genetic perturbations, ultimately mimicking the RACE assay in vivo. Both animal models and virus libraries will be of immense utility to researchers both at Yale and elsewhere, representing a valuable resource within the Consortium.'"
Chicago Region Physical Science Oncology Center	Project	1	Ionic modulation of chromatin in cancer	"'[Project 1 summary](https://www.psoc.northwestern.edu/research/core-research-projects/project-1-ionic-modulation-of-chromatin-in-cancer/): Cellular potassium levels play a central role in regulating physiological processes and are maintained within narrow limits.  Recent studies reveal that aggressive and highly metastatic breast and multiple myeloma cancer cells maintain potassium concentrations that are several fold higher than matched non-tumorigenic cells. Since the strongest physiochemical interactions involved in reversible chromatin condensation are electrostatic, any perturbations in the ionic environment of the nucleus, such as those driven by a pathophysiological elevation of cellular K+ content, are anticipated to have profound effects on chromatin structure and access to transcriptional machinery.   Thus this discovery has global physiological implications.  It also has the potential to provide a mechanistic framework for a variety of reports showing that elevated potassium levels suppress cell death signaling pathways and may account for the large number of potassium channels that have been shown to play a role in cancer progression.  In this proposal we test the hypothesis that alterations in intracellular K+ and ionic strength alter chromatin structure and nuclear organization, and consequently global gene expression. These experiments will be performed across many length scales using Partial Wave Spectroscopy and STORM methods in the Nanocytometry Core: from intact living cells, to isolated nuclei and metaphase chromosomes and finally on nucleosome core particles.  To address our hypothesis we will develop new physical methods to: (a) understand the impact of potassium concentration on chromatin structure at the physical level in tumor cells; (b) probe the relationship between elevated potassium and clinical stage and grade of human tumors; and (c) probe whether this facet of cancer cell physiology can be exploited in the design of new combination chemotherapies. These advances in understanding ion imbalances in cancer may allow for the repurposing of current FDA-approved agents, such as diuretics that work by modulating intracellular potassium levels.  This project is central to the overarching framework of the CR-PSOC “Spatio-Temporal Dynamics of Chromatin and Information Transfer in Cancer” because it addresses physical changes in the nuclear environment that are important in cancer progression.  In collaboration with the Project 3 team we will determine the extent of chromatin compaction in intact nuclei, and with the Project 2 team, we will test roles for potassium accumulation in leukemia.  The role of this Project in the Center is to resolve key electrostatic aspects of chromatin and its environment in the cancer cell nucleus. These new ideas and insights will be applied to understand and ultimately intervene in disease progression. This physical chemistry approach may lead to more effective therapeutic interventions using existing drugs.'"
Chicago Region Physical Science Oncology Center	Project	2	Molecular modulation of chromatin and nuclear structure in cancer	"'[Project 2 summary](https://www.psoc.northwestern.edu/research/core-research-projects/project-2-molecular-modulation-of-chromatin-and-nuclear-structure-in-cancer/): This project seeks to elucidate the role of enhancer dysfunction in modulating the spatio-temporal organization of chromatin and information transfer in cancer.  Genome sequencing efforts in recent years have revealed the presence of recurrent somatic mutations in epigenetic regulators in myelodysplasia (MDS) and acute myeloid leukemia (AML), such as loss of function mutations in EZH2 and TET2.  The effects of these mutations on chromatin structure and function are beginning to be elucidated.  Meanwhile with the advent of the ENCODE data and genome wide chromatin precipitation-sequencing studies it has become apparent that a large fraction of gene regulatory events are governed at enhancer sites located tens to hundreds of kilobases away from the start site of transcription.  Such sites are brought into apposition to gene promoters to stimulate gene expression through the formation of chromatin loops.  More recently, genomic surveys showed the presence of mutations in proteins linked to enhancer function, such as loss of function mutations of MLL3 (found within the common chromosome 7q36.1 deletion region in MDS and AML).  These enzymes encode histone methyltransferases that lead to the monomethylation of histone 3 lysine 4, a modification characteristic of enhancers.  p300, a histone acetyltransferase that acetylates these enhancers is mutated in MDS as well.  Mutation of TET2 in MDS signifies the importance of the hydroxymethylation modification, which our data indicate is present in enhancer sequences.  Finally the cohesin complex allows promoters and enhancers to loop together, facilitating gene expression.  Mutations in the genes of the cohesin assembly such as SMC3, STAG2, and RAD21 are found in MDS and AML. Collectively these data suggest that a subset of cases of AML and MDS suffers from enhancer dysfunction.\n\n&nbsp;\n\nWe hypothesize that enhancer dysfunction leads to an altered physical state of chromatin, including an abnormal state of 3-D looping, leading to aberrant formation of transcriptional, initiating and elongating complexes and destroying the normal regulation of gene expression in the cell.  This leads to the ineffective hematopoiesis and clonal expansion characteristic of MDS precursors.  We will use emerging CRISPR technology, advanced imaging (PWS/STORM microscopy) to visualize and monitor chromatin loop formation in response to oncogenic stimuli. We will use sophisticated chromatin confirmation capture and bioinformatics methods to create models of the physical state of chromatin in response to loss of key chromatin regulators.  Genome wide chromatin surveys will elucidate the aberrant structure and function of chromatin in hematologic malignancies.  Our work on the functional consequences of changes in chromatin structure at the kilobase-scale will interlock with an understanding of how ion concentrations alter chromatin structure and how folding mediated by condensins and cohesins affects chromatin structure and function at the megabase and chromosomal scale. We will use genetically edited cell models, genetically faithful animal models of AML and human specimens in xenografts to cross validate our work.  Finally we will determine if aberrant chromatin configurations lead to enhanced susceptibility to epigenetically targeted drugs.'"
Chicago Region Physical Science Oncology Center	Project	3		"'[Project 3 summary](https://www.psoc.northwestern.edu/research/core-research-projects/project-3-mechanics-of-nuclei-chromosomes-and-chromatin-in-cancer/): The large-scale structure of chromosomes is being increasingly appreciated as crucial to the regulation of genes, and dysregulation of higher-order chromosome organization is a hallmark of most cancers.  The overarching hypothesis driving this Project is that there are profound changes in organization of nuclei and chromosomes with cell type, particularly for rapidly growing cancer cells.   Preliminary data show strong effects of cell cycle timing on the structure and mechanics of metaphase chromosomes, and strong changes in nuclear organization in cancer cells, including changes driven by post-translational modifications of histones.'"
Chicago Region Physical Science Oncology Center	Core	1	Nanocytometry	"'Higher-order/large-scale chromatin structure plays a critical role in gene regulation, and its dysregulation is a hallmark of most cancers. This involves a hierarchy of length scales from a few tens of nanometers for nucleosomes to hundreds of nanometers for chromatin loops. The Nanocytometry Core provides quantitative analysis of the physical structure of chromatin with a custom designed and built microscope capable of both nanoscale sensitivity and super-resolution imaging. This unique instrument does not exist anywhere else in the world.\n\n&nbsp;\n\nThe instrument combines two complementary micro/nanoscopic techniques: partial wave spectroscopic (PWS) nanocytometry, which quantifies the statistical properties of molecular density distribution within live or fixed cells for length scales from 10 to 200 nm, and Stochastic Optical Reconstruction Microscope (STORM), a super-resolution microscopy offering molecular-specific images with resolution as high as ~20-60 nm.  The core staff is developing a combined STORM-nanocytology software system that allows for seamless integration of the microscopy techniques with a co-registration capability.\n\n&nbsp;\n\nThe application of this instrument to the Chicago Region Physical Oncology Sciences Center studies allows investigators the ability to image and sense the chromatin structure with sensitivity down to 10-20 nm in live as well as fixed cells, and can work with individual cells as well as able to analyze thousands of cells across an entire slide within minutes. CR-PSOC Investigators anticipate that this cutting-edge microscopy system will open up new directions for basic science as well as translational research.'"
Chicago Region Physical Science Oncology Center	Core	2	PDX Human Tumor	"'Patient-derived xenograft tumors retain histological characteristics that are similar to the patient tumors from which they were derived. Thus, these models are thought to be closer to the clinical situation than traditional xenograft models.  The Patient-Derived Xenograft (PDX) Core provides a valuable model of human cancer that enables investigators to extend their observations to actual patient tumor cells.\n\n&nbsp;\n\nThe Core creates and maintains carefully delineated, in vivo human tumor models from a broad range of histologies that retain the characteristics of fresh human tumors.  These PDX models are passaged continuously in vivo and are never exposed to tissue culture plastic and the limitations imposed by tissue culture selection of certain tumor cell clones.\n\n&nbsp;\n\nThe Core builds on an already established PDX repository infrastructure that currently maintains sixty-two models covering ten different tumor histologies, with 2-3 new models created each week. Early passage cell lines are created in parallel from these in vivo PDX models and are available to the Physical Sciences Oncology Network investigators.\n\n&nbsp;\n\nThese early passage cell lines will be utilized for in vitro experiments by all three CR-PSOC research projects. The phenotypic and genotypic uniformity of these cells enables the integration of data across all three projects. In addition, the Core creates new PDX models of human multiple myeloma and medulloblastoma since potassium imbalances have been implicated in the tumorigenicity and progression of these tumor types.'"
Center for Modeling Tumor Cell Migration Mechanics	Project	1	"Physical modeling and dynamics of tumor cell migration mechanics (David Odde, Ph.D., PI)"	"A key feature of highly aggressive cancers is their invasiveness, where transformed cells disseminate by crawling through the local micro-environment, ultimately causing death as the tumor invades and metastasizes. If these processes of cell motility could be suppressed, it would potentially extend lifespan and increase the potential effectiveness for local and global therapeutic treatments. However, we do not adequately understand the mechanical and chemical basis of cancer cell migration in complex and mechanically challenging microenvironments. The goal of this project is to develop and use a mathematical/computational model that will allow us to simulate cancer migration on a computer, and, in the longer-term, perform virtual in silico drug screening. Specifically, during this project we will mechanically parameterize glioblastoma (GBM) and pancreatic ductal adenocarcinoma (PDA) tumor cell migration so that patient outcomes can be predicted and new therapeutic strategies identified. Employing physical modeling for whole cell model migration, we have developed a “Cell Migration Simulator, v1.0,” (CMS1.0) to capture fundamental intracellular and extracellular mechanical processes regulating cell migration. Here, CMS1.0 will be used to 1) mechanically parameterize tumor heterogeneity, 2) bias immune-cancer cell interaction away from suppression and toward killing, and 3) elucidate proto-oncogene mechanism. Finally, we will also further develop the CMS1.0 to include more explicit F-actin dynamics, cell mechanics, and environmental fiber mechanics. In the process, we will build a physical sciences-based, patient-oriented approach toward understanding and controlling a key driver of cancer progression, cell migration. Thus, the project will establish the quantitative framework necessary to develop a model-driven approach to brain and pancreatic cancer invasion, so that therapies can be designed and engineered for better, more predictable outcomes."
Center for Modeling Tumor Cell Migration Mechanics	Project	2	"Cell Migration in Mechanically Complex Microenvironments (Paolo Provenzano, Ph.D., PI)"	"Cancers are complex systems commonly associated with a robust fibroinflammatory stromal response, or desmoplastic reaction. This is highly relevant as it is now recognized that, in many solid tumors, the stromal compartment and its local microenvironments significantly influence disease progression. Through disease progression this desmoplastic reaction continues and often intensifies, offering critical support to malignant cells as they progress to invasive and often fully metastastic disease while also providing drug-free sanctuaries that limit access of small molecule therapies. Likewise, even the earliest stages of disease are associated with a robust immune reaction that evolves with disease progression. Here tumor microenvironments appear to form sanctuaries for immune evasion and in fact are comprised, in part, of infiltrated immune cells that have been subverted to act as active collaborators that enable tumor progression. Interestingly, while robust biochemical stimuli are present in tumors, they are not the only factor. These microenvironments also provide robust physical cues that conspire to promote disease progression. For instance, in solid tumors there are fundamental roles of extracellular matrix stiffness, composition and architecture that profoundly influence outcome. However, to date, the molecular and physical mechanisms by which matrix stiffness and architecture, and their relative contributions, influence tumor cell behavior are not well known. Here, we propose specific and integrated experiments and modeling to explicitly investigate the physical and molecular mechanisms by which the tumor microenvironment regulates disease progression as a function of the underlying carcinoma genetics. Quantitative analysis and parameterization of data will facilitate model development and model predictions will be tested experimentally. Specifically, we will employ a series of 2D and 3D assays with varying stiffness and architecture of increasing complexity, and multiscale network modeling, to parse out the relative contributions of contact guidance cues and durotactic effects in complex microenvironments. Integration of chemical gradients will be used to parse out dominance, antagonism or synergy between chemical and physical cues. Further, we hypothesize that physical cues in the cellular microenvironment drive communication between different tumor cell populations and regulate immune cell infiltration and function. Thus, we seek to identify regimes where manipulating operant physical characteristics of a tumor reduces carcinoma cell advancement while simultaneously hampering immune evasion and promoting the antitumor response.'"
